trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
126,2017-07-11 07:30:00,0.760690,short,1.000000,46.938397,False,Standard (NTI+MB+IC),0.761411,7.210244,0.759549,0.758408,0.756886,2017-07-11 12:00:00,0.761524,stop_loss,0,4.500000,-833.884559,,,,,-8.338846,-833.884559,,,,,,
127,2017-07-11 13:15:00,0.762304,long,1.000000,47.673461,False,Standard (NTI+MB+IC),0.761304,10.000000,0.763448,0.764591,0.766116,2017-11-07 11:30:00,0.809568,trailing_stop,0,2854.250000,1029.569479,TP0,0.500000,457.841240,772.920673,472.641127,1029.569479,TP0,0.165000,188.670319,TP0,0.110550,126.409113
128,2017-11-07 11:45:00,0.763632,short,1.000000,41.752239,False,Standard (NTI+MB+IC),0.764632,10.000000,0.762487,0.761341,0.759814,2017-11-07 15:15:00,0.764750,stop_loss,0,3.500000,-1118.003059,,,,,-11.180031,-1118.003059,,,,,,
129,2017-11-07 18:30:00,0.765338,short,1.000000,33.575806,False,Standard (NTI+MB+IC),0.765026,3.123857,0.764190,0.763042,0.761512,2017-11-07 18:45:00,0.765082,stop_loss,0,0.250000,256.433209,,,,,2.564332,256.433209,,,,,,
130,2017-11-07 19:00:00,0.765532,long,1.000000,37.441669,False,Standard (NTI+MB+IC),0.764532,10.000000,0.766680,0.767828,0.769359,2017-11-08 01:00:00,0.764350,stop_loss,0,6.000000,-1181.836768,,,,,-11.818368,-1181.836768,,,,,,
131,2017-11-08 03:45:00,0.766877,long,1.000000,40.871073,False,Standard (NTI+MB+IC),0.765877,10.000000,0.768027,0.769178,0.770711,2017-11-08 07:15:00,0.766934,trailing_stop,0,3.500000,279.827080,TP0,0.500000,251.493986,251.493986,0.566662,279.827080,,,,,,
132,2017-11-08 07:30:00,0.767655,long,1.000000,46.558293,False,Standard (NTI+MB+IC),0.766655,10.000000,0.768806,0.769958,0.771493,2017-11-08 09:30:00,0.767666,trailing_stop,0,2.000000,11.120709,,,,,0.111207,11.120709,,,,,,
133,2017-11-08 09:45:00,0.768073,long,1.000000,38.825593,False,Standard (NTI+MB+IC),0.767073,10.000000,0.769225,0.770377,0.771913,2017-11-08 10:45:00,0.767016,stop_loss,0,1.000000,-1057.060629,,,,,-10.570606,-1057.060629,,,,,,
134,2017-11-09 07:00:00,0.768818,long,1.000000,40.103281,False,Standard (NTI+MB+IC),0.767818,10.000000,0.769971,0.771124,0.772662,2017-11-09 08:15:00,0.767623,stop_loss,0,1.250000,-1195.134831,,,,,-11.951348,-1195.134831,,,,,,
135,2017-11-09 09:00:00,0.765444,short,1.000000,41.569366,False,Standard (NTI+MB+IC),0.766444,10.000000,0.764296,0.763147,0.761617,2017-11-09 11:45:00,0.766640,stop_loss,0,2.750000,-1196.162959,,,,,-11.961630,-1196.162959,,,,,,
136,2017-11-09 13:30:00,0.768185,short,1.000000,40.411830,False,Standard (NTI+MB+IC),0.767535,6.493427,0.767032,0.765880,0.764344,2017-11-09 13:45:00,0.767540,stop_loss,0,0.250000,644.622142,,,,,6.446221,644.622142,,,,,,
137,2017-11-09 14:00:00,0.768097,long,1.000000,43.977268,False,Standard (NTI+MB+IC),0.767097,10.000000,0.769249,0.770401,0.771937,2017-11-09 19:30:00,0.768122,trailing_stop,0,5.500000,294.231411,TP0,0.500000,281.681808,281.681808,0.250992,294.231411,,,,,,
138,2017-11-10 06:45:00,0.766237,short,1.000000,42.019600,False,Standard (NTI+MB+IC),0.767237,10.000000,0.765087,0.763938,0.762405,2017-11-10 10:00:00,0.767260,stop_loss,0,3.250000,-1023.028139,,,,,-10.230281,-1023.028139,,,,,,
139,2017-11-10 12:30:00,0.765771,short,1.000000,35.854860,False,Standard (NTI+MB+IC),0.766771,10.000000,0.764622,0.763474,0.761942,2017-11-12 22:30:00,0.765761,trailing_stop,0,58.000000,994.302074,TP0,0.500000,435.469556,751.981829,0.095413,994.302074,TP0,0.165000,189.528307,TP0,0.110550,126.983966
140,2017-11-13 04:00:00,0.764704,short,1.000000,35.952353,False,Standard (NTI+MB+IC),0.765704,10.000000,0.763557,0.762410,0.760880,2017-11-13 05:15:00,0.764665,trailing_stop,0,1.250000,39.170868,,,,,0.391709,39.170868,,,,,,
141,2017-11-13 08:30:00,0.763870,short,1.000000,38.507793,False,Standard (NTI+MB+IC),0.764870,10.000000,0.762724,0.761578,0.760050,2017-11-13 20:30:00,0.763578,trailing_stop,0,12.000000,847.736592,TP0,0.500000,274.834689,590.561120,2.918802,847.736592,TP0,0.165000,189.057743,TP0,0.110550,126.668688
142,2017-11-13 20:45:00,0.762984,short,1.000000,21.889911,False,Standard (NTI+MB+IC),0.763110,1.264854,0.761839,0.760695,0.759169,2017-11-13 21:15:00,0.763186,stop_loss,0,0.500000,-202.011529,,,,,-2.020115,-202.011529,,,,,,
143,2017-11-13 21:30:00,0.763049,short,1.000000,18.001877,False,Standard (NTI+MB+IC),0.763115,0.665770,0.761904,0.760759,0.759233,2017-11-13 22:30:00,0.762992,trailing_stop,0,1.000000,102.486098,TP0,0.500000,74.259955,74.259955,0.564523,102.486098,,,,,,
144,2017-11-14 19:30:00,0.759210,short,1.000000,27.116551,False,Standard (NTI+MB+IC),0.760210,10.000000,0.758071,0.756932,0.755414,2017-11-15 02:00:00,0.759197,trailing_stop,0,6.500000,785.982101,TP0,0.500000,330.024081,643.824575,0.128279,785.982101,TP0,0.165000,187.904487,TP0,0.110550,125.896006
145,2017-11-15 02:15:00,0.758213,short,1.000000,25.211329,False,Standard (NTI+MB+IC),0.759213,10.000000,0.757075,0.755938,0.754422,2017-11-15 04:00:00,0.759284,stop_loss,0,1.750000,-1071.209076,,,,,-10.712091,-1071.209076,,,,,,
146,2017-11-15 04:15:00,0.759786,short,1.000000,13.834160,False,Standard (NTI+MB+IC),0.760206,4.193839,0.758647,0.757507,0.755987,2017-11-15 06:00:00,0.759769,trailing_stop,0,1.750000,425.994686,TP0,0.500000,108.114967,422.153610,0.171133,425.994686,TP0,0.165000,188.047092,TP0,0.110550,125.991552
147,2017-11-16 21:45:00,0.760785,long,1.000000,47.956150,False,Standard (NTI+MB+IC),0.759785,10.000000,0.761927,0.763068,0.764589,2017-11-16 22:15:00,0.759641,stop_loss,0,0.500000,-1144.658715,,,,,-11.446587,-1144.658715,,,,,,
148,2017-11-17 00:00:00,0.757241,short,1.000000,45.356873,False,Standard (NTI+MB+IC),0.758241,10.000000,0.756105,0.754969,0.753455,2017-11-17 00:30:00,0.757201,trailing_stop,0,0.500000,40.316221,,,,,0.403162,40.316221,,,,,,
149,2017-11-17 00:45:00,0.756958,short,1.000000,52.464834,False,Standard (NTI+MB+IC),0.757958,10.000000,0.755823,0.754688,0.753174,2017-11-17 12:45:00,0.756420,trailing_stop,0,12.000000,906.940014,TP0,0.500000,339.221231,652.091079,5.381142,906.940014,TP0,0.165000,187.347215,TP0,0.110550,125.522634
150,2017-11-17 13:30:00,0.756772,long,1.000000,45.097178,False,Standard (NTI+MB+IC),0.755772,10.000000,0.757907,0.759042,0.760556,2017-11-19 17:45:00,0.755611,stop_loss,0,52.250000,-1160.608052,,,,,-11.606081,-1160.608052,,,,,,
151,2017-11-20 03:45:00,0.756798,long,1.000000,44.888821,False,Standard (NTI+MB+IC),0.755798,10.000000,0.757933,0.759069,0.760582,2017-11-20 04:45:00,0.756831,trailing_stop,0,1.000000,33.053731,,,,,0.330537,33.053731,,,,,,
152,2017-11-20 05:45:00,0.755780,long,1.000000,16.962429,False,Standard (NTI+MB+IC),0.755864,0.840696,0.756914,0.758047,0.759559,2017-11-20 06:15:00,0.755755,stop_loss,0,0.500000,87.612512,TP0,0.500000,100.043739,100.043739,-0.248625,87.612512,,,,,,
153,2017-11-20 21:15:00,0.753860,short,1.000000,40.603072,False,Standard (NTI+MB+IC),0.754860,10.000000,0.752729,0.751598,0.750091,2017-11-20 21:45:00,0.753853,trailing_stop,0,0.500000,6.913965,,,,,0.069140,6.913965,,,,,,
154,2017-11-20 22:00:00,0.753895,short,1.000000,45.402516,False,Standard (NTI+MB+IC),0.754895,10.000000,0.752764,0.751633,0.750125,2017-11-21 00:00:00,0.753874,trailing_stop,0,2.000000,21.136439,,,,,0.211364,21.136439,,,,,,
155,2017-11-21 05:15:00,0.758321,long,1.000000,44.412581,False,Standard (NTI+MB+IC),0.757321,10.000000,0.759458,0.760596,0.762112,2017-11-21 06:45:00,0.757317,stop_loss,0,1.500000,-1003.622656,,,,,-10.036227,-1003.622656,,,,,,
156,2017-11-21 07:00:00,0.757667,long,1.000000,49.236438,False,Standard (NTI+MB+IC),0.756667,10.000000,0.758804,0.759940,0.761455,2017-11-21 12:30:00,0.757687,trailing_stop,0,5.500000,709.139378,TP0,0.500000,391.493654,704.656372,0.199733,709.139378,TP0,0.165000,187.522586,TP0,0.110550,125.640132
157,2017-11-21 19:30:00,0.758685,long,1.000000,42.801632,False,Standard (NTI+MB+IC),0.757685,10.000000,0.759823,0.760961,0.762478,2017-11-21 20:00:00,0.757513,stop_loss,0,0.500000,-1171.329009,,,,,-11.713290,-1171.329009,,,,,,
158,2017-11-22 08:30:00,0.757686,long,1.000000,32.581857,False,Standard (NTI+MB+IC),0.756686,10.000000,0.758823,0.759959,0.761475,2017-11-28 23:00:00,0.761860,trailing_stop,0,158.500000,895.099946,TP0,0.500000,326.835199,640.005901,41.737106,895.099946,TP0,0.165000,187.527367,TP0,0.110550,125.643336
159,2017-11-28 23:15:00,0.758539,short,1.000000,51.196286,False,Standard (NTI+MB+IC),0.759539,10.000000,0.757401,0.756263,0.754746,2017-11-29 02:00:00,0.759710,stop_loss,0,2.750000,-1170.883119,,,,,-11.708831,-1170.883119,,,,,,
160,2017-11-29 07:30:00,0.757610,short,1.000000,39.924126,False,Standard (NTI+MB+IC),0.758610,10.000000,0.756474,0.755337,0.753822,2017-11-29 11:15:00,0.757518,trailing_stop,0,3.750000,968.997353,TP0,0.500000,414.992757,728.131905,0.923354,968.997353,TP0,0.165000,187.508471,TP0,0.110550,125.630676
161,2017-11-30 04:00:00,0.756257,short,1.000000,36.980177,False,Standard (NTI+MB+IC),0.757257,10.000000,0.755123,0.753988,0.752476,2017-11-30 05:00:00,0.756179,trailing_stop,0,1.000000,78.397783,,,,,0.783978,78.397783,,,,,,
162,2017-11-30 05:15:00,0.756505,short,1.000000,47.423571,False,Standard (NTI+MB+IC),0.757505,10.000000,0.755370,0.754235,0.752722,2017-11-30 06:30:00,0.756485,trailing_stop,0,1.250000,20.018290,,,,,0.200183,20.018290,,,,,,
163,2017-11-30 10:15:00,0.758855,long,1.000000,35.813558,False,Standard (NTI+MB+IC),0.757855,10.000000,0.759993,0.761132,0.762649,2017-11-30 11:00:00,0.758922,trailing_stop,0,0.750000,67.054468,,,,,0.670545,67.054468,,,,,,
164,2017-11-30 13:30:00,0.756189,short,1.000000,33.695096,False,Standard (NTI+MB+IC),0.757189,10.000000,0.755054,0.753920,0.752408,2017-11-30 18:00:00,0.756118,trailing_stop,0,4.500000,484.476606,TP0,0.500000,449.358079,449.358079,0.702371,484.476606,,,,,,
165,2017-12-01 03:15:00,0.758523,long,1.000000,30.396592,False,Standard (NTI+MB+IC),0.757523,10.000000,0.759661,0.760799,0.762316,2017-12-01 04:45:00,0.758562,trailing_stop,0,1.500000,608.978767,TP0,0.500000,408.338091,596.072613,0.385258,608.978767,TP0,0.165000,187.734523,,,
166,2017-12-01 05:00:00,0.758259,long,1.000000,39.176285,False,Standard (NTI+MB+IC),0.757259,10.000000,0.759397,0.760534,0.762050,2017-12-01 05:45:00,0.757185,stop_loss,0,0.750000,-1073.830384,,,,,-10.738304,-1073.830384,,,,,,
167,2017-12-01 06:45:00,0.756840,long,1.000000,17.408082,False,Standard (NTI+MB+IC),0.756787,0.529879,0.757976,0.759111,0.760625,2017-12-01 07:00:00,0.756633,stop_loss,0,0.250000,-207.731278,,,,,-2.077313,-207.731278,,,,,,
168,2017-12-01 10:45:00,0.759444,long,1.000000,48.471848,False,Standard (NTI+MB+IC),0.758444,10.000000,0.760583,0.761723,0.763242,2017-12-03 17:00:00,0.760947,trailing_stop,0,54.250000,2092.443636,TP0,0.500000,1522.848225,1836.745542,15.030825,2092.443636,TP0,0.165000,187.962465,TP0,0.110550,125.934852
169,2017-12-03 17:15:00,0.759178,long,1.000000,12.640164,False,Standard (NTI+MB+IC),0.759369,1.915360,0.760316,0.761455,0.762973,2017-12-03 17:45:00,0.759200,trailing_stop,0,0.500000,237.339645,TP0,0.500000,226.198429,226.198429,0.222824,237.339645,,,,,,
170,2017-12-03 18:00:00,0.759611,long,1.000000,12.272050,False,Standard (NTI+MB+IC),0.759421,1.890624,0.760750,0.761889,0.763409,2017-12-03 18:15:00,0.759226,stop_loss,0,0.250000,-384.900761,,,,,-3.849008,-384.900761,,,,,,
171,2017-12-04 02:30:00,0.758773,short,1.000000,49.826702,False,Standard (NTI+MB+IC),0.759773,10.000000,0.757635,0.756497,0.754979,2017-12-04 03:15:00,0.759875,stop_loss,0,0.750000,-1102.036057,,,,,-11.020361,-1102.036057,,,,,,
172,2017-12-04 19:30:00,0.762376,long,1.000000,28.046424,False,Standard (NTI+MB+IC),0.761376,10.000000,0.763519,0.764663,0.766188,2017-12-05 08:45:00,0.762798,trailing_stop,0,13.250000,903.947548,TP0,0.500000,332.165797,647.274720,4.225537,903.947548,TP0,0.165000,188.687978,TP0,0.110550,126.420945
173,2017-12-05 09:00:00,0.761948,long,1.000000,43.634839,False,Standard (NTI+MB+IC),0.763325,13.768159,0.763091,0.764234,0.765758,2017-12-05 09:15:00,0.763309,stop_loss,0,0.250000,1360.817126,,,,,13.608171,1360.817126,,,,,,
174,2017-12-05 09:30:00,0.760991,short,1.000000,54.583181,False,Standard (NTI+MB+IC),0.761991,10.000000,0.759849,0.758708,0.757186,2017-12-05 15:15:00,0.760966,trailing_stop,0,5.750000,561.698675,TP0,0.500000,365.267606,553.612764,0.241370,561.698675,TP0,0.165000,188.345157,,,
175,2017-12-05 15:30:00,0.761013,short,1.000000,13.729792,False,Standard (NTI+MB+IC),0.762013,10.000000,0.759872,0.758730,0.757208,2017-12-05 19:15:00,0.760971,trailing_stop,0,3.750000,297.762417,TP0,0.500000,276.527897,276.527897,0.424690,297.762417,,,,,,
176,2017-12-05 19:30:00,0.757582,short,1.000000,31.223768,False,Standard (NTI+MB+IC),0.758582,10.000000,0.756446,0.755310,0.753794,2017-12-05 20:45:00,0.758776,stop_loss,0,1.250000,-1193.701402,,,,,-11.937014,-1193.701402,,,,,,
177,2017-12-05 21:00:00,0.758684,short,1.000000,34.529592,False,Standard (NTI+MB+IC),0.759684,10.000000,0.757546,0.756408,0.754891,2017-12-06 01:15:00,0.758644,trailing_stop,0,4.250000,749.422931,TP0,0.500000,426.975874,740.558919,0.394921,749.422931,TP0,0.165000,187.774278,TP0,0.110550,125.808766
178,2017-12-06 10:30:00,0.756583,short,1.000000,46.544053,False,Standard (NTI+MB+IC),0.757583,10.000000,0.755449,0.754314,0.752801,2017-12-06 12:15:00,0.756546,trailing_stop,0,1.750000,37.485355,,,,,0.374854,37.485355,,,,,,
179,2017-12-06 12:30:00,0.756280,short,1.000000,34.498928,False,Standard (NTI+MB+IC),0.757280,10.000000,0.755145,0.754011,0.752498,2017-12-12 03:30:00,0.752587,trailing_stop,0,135.000000,1557.128511,TP0,0.500000,989.918633,1302.507997,36.925668,1557.128511,TP0,0.165000,187.179260,TP0,0.110550,125.410104
180,2017-12-12 03:45:00,0.755733,long,1.000000,70.493206,False,Standard (NTI+MB+IC),0.754733,10.000000,0.756866,0.758000,0.759511,2017-12-12 10:00:00,0.755803,trailing_stop,0,6.250000,1004.172865,TP0,0.500000,438.682220,751.045412,0.699656,1004.172865,TP0,0.165000,187.043827,TP0,0.110550,125.319364
181,2017-12-12 10:15:00,0.755184,long,1.000000,17.936124,False,Standard (NTI+MB+IC),0.755180,0.045500,0.756317,0.757450,0.758960,2017-12-12 10:30:00,0.755144,stop_loss,0,0.250000,-39.920468,,,,,-0.399205,-39.920468,,,,,,
182,2017-12-12 10:45:00,0.755142,long,1.000000,21.298991,False,Standard (NTI+MB+IC),0.755212,0.699320,0.756275,0.757407,0.758918,2017-12-12 11:00:00,0.755127,stop_loss,0,0.250000,-15.101428,,,,,-0.151014,-15.101428,,,,,,
183,2017-12-12 11:15:00,0.755389,long,1.000000,21.928765,False,Standard (NTI+MB+IC),0.755221,1.678887,0.756522,0.757655,0.759166,2017-12-12 11:30:00,0.755147,stop_loss,0,0.250000,-242.140380,,,,,-2.421404,-242.140380,,,,,,
184,2017-12-12 11:45:00,0.754879,long,1.000000,22.564364,False,Standard (NTI+MB+IC),0.755215,3.362292,0.756012,0.757144,0.758654,2017-12-12 12:00:00,0.755031,stop_loss,0,0.250000,152.260762,,,,,1.522608,152.260762,,,,,,
185,2017-12-12 21:00:00,0.757132,long,1.000000,46.351909,False,Standard (NTI+MB+IC),0.756132,10.000000,0.758267,0.759403,0.760917,2017-12-12 23:00:00,0.757217,trailing_stop,0,2.000000,85.642466,,,,,0.856425,85.642466,,,,,,
186,2017-12-12 23:15:00,0.756896,long,1.000000,25.809288,False,Standard (NTI+MB+IC),0.755896,10.000000,0.758032,0.759167,0.760681,2017-12-13 02:15:00,0.756920,trailing_stop,0,3.000000,363.414440,TP0,0.500000,351.787917,351.787917,0.232530,363.414440,,,,,,
187,2017-12-13 02:30:00,0.756678,long,1.000000,17.082921,False,Standard (NTI+MB+IC),0.756363,3.150820,0.757813,0.758948,0.760461,2017-12-13 04:30:00,0.756190,stop_loss,0,2.000000,-163.248697,TP0,0.500000,80.960711,80.960711,-4.884188,-163.248697,,,,,,
188,2017-12-13 05:00:00,0.755621,short,1.000000,39.740290,False,Standard (NTI+MB+IC),0.756621,10.000000,0.754487,0.753354,0.751843,2017-12-13 07:00:00,0.756651,stop_loss,0,2.000000,-1030.226189,,,,,-10.302262,-1030.226189,,,,,,
189,2017-12-13 08:30:00,0.760076,long,1.000000,38.275080,False,Standard (NTI+MB+IC),0.759076,10.000000,0.761216,0.762356,0.763876,2018-04-23 13:00:00,0.810928,trailing_stop,0,3148.500000,922.292268,TP0,0.500000,352.235621,666.393839,508.527294,922.292268,TP0,0.165000,188.118693,TP0,0.110550,126.039525
190,2018-04-23 13:15:00,0.760950,short,1.000000,66.498165,False,Standard (NTI+MB+IC),0.761950,10.000000,0.759809,0.758667,0.757145,2018-04-23 22:15:00,0.760879,trailing_stop,0,9.000000,902.362292,TP0,0.500000,380.075269,694.594990,0.707541,902.362292,TP0,0.165000,188.335162,TP0,0.110550,126.184559
191,2018-04-23 23:30:00,0.761068,short,1.000000,13.582469,False,Standard (NTI+MB+IC),0.761385,3.167521,0.759927,0.758785,0.757263,2018-04-24 01:15:00,0.761000,trailing_stop,0,1.750000,138.464557,TP0,0.500000,104.229436,104.229436,0.684702,138.464557,,,,,,
192,2018-04-25 00:30:00,0.757677,short,1.000000,35.785150,False,Standard (NTI+MB+IC),0.758677,10.000000,0.756541,0.755404,0.753889,2018-04-25 04:45:00,0.757656,trailing_stop,0,4.250000,956.368850,TP0,0.500000,438.574080,751.740987,0.207962,956.368850,TP0,0.165000,187.525094,TP0,0.110550,125.641813
193,2018-04-25 05:15:00,0.758391,short,1.000000,16.950362,False,Standard (NTI+MB+IC),0.758802,4.108125,0.757254,0.756116,0.754599,2018-04-25 21:30:00,0.757707,trailing_stop,0,16.250000,674.458532,TP0,0.500000,105.665035,419.127131,6.843295,674.458532,TP0,0.165000,187.701854,TP0,0.110550,125.760242
