trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total
11,2010-02-19 14:00:00,0.896319,long,1.000000,33.521296,False,Standard (NTI+MB+IC),0.895319,10.000000,0.897664,0.899008,0.900801,2010-02-23 10:15:00,0.904053,trailing_stop,0,92.250000,962.690008,77.337105,962.690008,TP0,0.500000,290.450684,TP0,0.165000,221.838977,TP0,0.110550,148.632115,660.921775
12,2010-02-23 10:30:00,0.895474,short,1.000000,43.580358,False,Standard (NTI+MB+IC),0.896474,10.000000,0.894131,0.892788,0.890997,2010-02-26 11:00:00,0.883119,trailing_stop,0,72.500000,1353.592432,123.555157,1353.592432,TP0,0.330000,443.259729,TP0,0.335000,460.356918,TP0,0.110550,148.492009,1052.108656
13,2010-02-26 11:15:00,0.895734,long,1.000000,23.426999,False,Standard (NTI+MB+IC),0.894734,10.000000,0.897078,0.898422,0.900213,2010-02-26 12:00:00,0.895757,trailing_stop,0,0.750000,862.049054,0.225162,862.049054,TP0,0.500000,632.811867,TP0,0.165000,221.694258,,,,854.506126
14,2010-02-28 18:15:00,0.898608,long,1.000000,40.687158,False,Standard (NTI+MB+IC),0.897608,10.000000,0.899956,0.901304,0.903101,2010-02-28 20:15:00,0.898661,trailing_stop,0,2.000000,779.396407,0.532710,779.396407,TP0,0.500000,396.022587,TP0,0.165000,222.405469,TP0,0.110550,149.011664,767.439720
15,2010-02-28 20:30:00,0.897707,long,1.000000,40.145662,False,Standard (NTI+MB+IC),0.896707,10.000000,0.899054,0.900400,0.902196,2010-02-28 21:00:00,0.896603,stop_loss,0,0.500000,-1104.089555,-11.040896,-1104.089555,,,,,,,,,,
16,2010-02-28 21:15:00,0.896250,long,1.000000,15.279800,False,Standard (NTI+MB+IC),0.895250,10.000000,0.897594,0.898938,0.900731,2010-03-01 01:30:00,0.896313,trailing_stop,0,4.250000,1089.592554,0.637910,1089.592554,TP0,0.500000,425.225283,TP0,0.165000,221.821763,TP0,0.110550,148.620582,795.667628
17,2010-03-01 07:00:00,0.893799,short,1.000000,46.997816,False,Standard (NTI+MB+IC),0.894799,10.000000,0.892458,0.891118,0.889330,2010-03-01 07:15:00,0.894954,stop_loss,0,0.250000,-1154.872605,-11.548726,-1154.872605,,,,,,,,,,
18,2010-03-01 07:30:00,0.894764,short,1.000000,51.298527,False,Standard (NTI+MB+IC),0.895764,10.000000,0.893422,0.892080,0.890290,2010-03-01 08:00:00,0.894759,trailing_stop,0,0.500000,334.535785,0.048881,334.535785,TP0,0.500000,332.091725,,,,,,,332.091725
19,2010-03-01 08:15:00,0.895977,short,1.000000,51.783254,False,Standard (NTI+MB+IC),0.896977,10.000000,0.894633,0.893289,0.891497,2010-03-01 10:15:00,0.895877,trailing_stop,0,2.000000,743.311169,0.993715,743.311169,TP0,0.500000,488.267517,TP0,0.165000,221.754192,,,,710.021709
20,2010-03-02 01:45:00,0.896670,short,1.000000,39.178091,False,Standard (NTI+MB+IC),0.897670,10.000000,0.895325,0.893980,0.892186,2010-03-02 02:15:00,0.897857,stop_loss,0,0.500000,-1186.796320,-11.867963,-1186.796320,,,,,,,,,,
