iteration,start_date,end_date,sharpe_ratio,total_pnl,total_return,win_rate,total_trades,max_drawdown,profit_factor,avg_win,avg_loss,primary_year
33,2021-01-15 08:30:00,2021-06-11 09:15:00,1.5753795222309877,243466.59596887924,243.46659596888114,58.56697819314641,963,-3.129701357932154,2.319671402174606,758.7888536494368,-462.3817480937443,2021
34,2024-08-30 14:45:00,2025-01-27 14:30:00,1.7655816013048848,275477.9306902442,275.47793069024584,61.15384615384616,1040,-2.7183767952513147,2.4471869020521617,732.4402676877784,-471.1734642554051,2024
35,2018-09-24 06:30:00,2019-02-19 00:45:00,2.1767720042610286,398232.0582681736,398.2320582681754,63.71308016877637,1185,-1.9694758677470656,2.9355747959466236,799.9677125451694,-478.47340628704956,2018
36,2024-02-29 22:15:00,2024-07-25 03:00:00,1.3338357441269921,142420.90497344255,142.42090497344222,62.27106227106227,819,-2.0769105405132673,1.9910788802758426,561.0270601651549,-465.0579149216411,2024
37,2019-12-22 21:00:00,2020-05-18 16:30:00,2.15175670251599,500237.9380915439,500.2379380915397,62.54948535233571,1263,-2.016729008140669,3.212732242959057,919.3803174539227,-477.9545722982153,2019
38,2024-11-10 17:30:00,2025-04-07 13:15:00,1.814060162931394,307734.80242721096,307.73480242721365,61.89573459715639,1055,-2.279254559466667,2.616195737821796,762.8509822523985,-473.6489775711594,2024
39,2022-01-10 03:00:00,2022-06-03 07:45:00,1.8321308351615213,282834.1961365896,282.83419613659095,59.120673526660426,1069,-3.0083265882359402,2.3828307118264784,771.1502631096592,-468.03837562635266,2022
40,2019-07-31 00:45:00,2019-12-24 04:30:00,1.6527450378270923,272414.1028238133,272.41410282381537,59.60264900662252,1057,-2.0510877433166943,2.3691673756804175,748.2181501577785,-465.9562805048905,2019
41,2019-08-13 08:45:00,2020-01-08 03:15:00,1.7908166052010759,299993.18963604496,299.9931896360473,60.24844720496895,1127,-2.09875055178676,2.431538832349321,750.4464331577049,-467.76771981704894,2019
42,2021-07-26 20:15:00,2021-12-20 00:00:00,1.549717192473246,208188.01714022766,208.1880171402281,60.609613130128956,853,-2.6528242875210504,2.3322168136138064,704.9514322370027,-465.0948610901892,2021
43,2021-09-30 11:00:00,2022-02-23 14:45:00,1.5998864887623732,226665.66106964968,226.66566106965016,61.61290322580645,930,-2.2716497327965963,2.3427807977271624,690.1724875875835,-472.8380232998224,2021
44,2022-10-10 16:00:00,2023-03-10 02:45:00,1.8944146157797153,507287.9562857496,507.28795628574585,62.35093696763203,1174,-1.3228834852627005,3.4076553126060114,980.8550164849771,-476.6921171521598,2022
45,2021-06-08 20:15:00,2021-11-01 23:00:00,1.415426838841542,190596.6420122678,190.59664201226872,59.12568306010929,915,-2.7058786500028313,2.099700383186197,672.6682521893002,-463.41412412338053,2021
46,2021-09-03 09:00:00,2022-01-27 12:45:00,1.583396157519293,230760.8661318881,230.76086613188883,61.30760986066453,933,-3.4859753329949124,2.3410497288764103,704.258160500467,-476.6615004830466,2021
47,2020-08-03 09:30:00,2020-12-28 23:15:00,2.0340276070619367,431997.2214900029,431.9972214900056,60.46692607003891,1285,-2.4205061025626806,2.7617456266891267,871.566256151077,-482.6963770460339,2020
48,2018-10-26 11:45:00,2019-03-25 05:00:00,1.9898364351329987,394579.4750629935,394.5794750629963,61.63905841325196,1147,-1.4917229610170644,2.8616832102070613,857.8885082718726,-481.69931883004944,2018
49,2019-08-01 12:30:00,2019-12-26 07:00:00,1.6571810811333718,267599.714887639,267.59971488764097,59.64083175803403,1058,-2.0913887421899364,2.3419012811158115,740.1236872634328,-467.0218542753824,2019
50,2021-08-20 15:00:00,2022-01-13 18:45:00,1.5190407377389181,212799.87487427314,212.79987487427348,61.09253065774804,897,-3.258656996707491,2.288357975879008,689.728581543838,-473.27045218266744,2021
51,2022-03-02 16:15:00,2022-07-26 21:00:00,1.7213146457092727,322921.4510540504,322.92145105405166,58.075904677846424,1133,-5.2422324133360805,2.440538563819617,831.4416711471531,-471.930881180584,2022
52,2023-07-14 03:00:00,2023-12-12 11:30:00,1.4883424019927958,244048.14144066477,244.0481414406665,59.14691943127962,1055,-2.1296293400998696,2.2074252689125236,715.017488300642,-468.96234630843736,2023
53,2023-12-21 15:30:00,2024-05-17 13:30:00,1.3924360927261512,174075.14192032503,174.07514192032505,60.116279069767444,860,-1.7187456953937954,2.0963026075507787,643.8278252462734,-462.9266581107845,2023
54,2022-03-29 07:30:00,2022-08-22 11:30:00,1.7192684702173928,338001.7076856937,338.00170768569535,59.27240461401952,1127,-7.336166205990725,2.549465808511152,832.5486609581734,-475.25228286354553,2022
55,2023-01-09 20:15:00,2023-07-19 09:00:00,1.7193717895213554,327992.4751241376,327.99247512414047,61.458333333333336,1056,-2.3559473699296367,2.7032957649622547,802.0892223592398,-473.1288210983048,2023
56,2023-07-26 21:30:00,2023-12-20 14:00:00,1.6322290194730198,256812.95455866485,256.81295455866683,59.06976744186046,1075,-2.3468914136594856,2.2457772342991964,729.0704343584255,-468.5153892248546,2023
57,2020-12-07 20:30:00,2021-05-04 16:15:00,1.843779992757428,303938.1406742109,303.93814067421386,59.65250965250966,1036,-2.429846299268389,2.5370349551677926,811.7820310920973,-473.0697477050389,2020
58,2024-09-16 08:45:00,2025-02-11 08:30:00,1.8097697238269346,292500.1258291933,292.50012582919516,61.293345829428304,1067,-2.756581696439287,2.504048625871355,744.6105579324259,-470.88421079567627,2024
59,2024-12-06 07:15:00,2025-05-05 03:00:00,1.8287421982955099,305807.0882797984,305.80708827980106,62.009569377990424,1045,-1.8141108593060924,2.6138132149922058,764.3527346608737,-477.31356115982095,2024
60,2021-03-18 23:00:00,2021-08-13 00:45:00,1.5407988326297795,210354.8243977578,210.35482439775888,58.7251828631139,957,-2.7176165071492475,2.142419323545516,701.9320904697659,-466.1544568259532,2021
61,2018-02-09 06:30:00,2018-07-05 10:15:00,1.798667671457416,317101.9733587515,317.10197335875387,59.80861244019139,1045,-2.562319741300916,2.5733262906840677,829.8411839462307,-479.87801573248527,2018
62,2021-02-17 16:00:00,2021-07-14 16:45:00,1.6206039314023366,236830.996256942,236.83099625694385,58.91783567134269,998,-1.9951031529590446,2.228288860716287,730.688364658837,-470.27746868891495,2021
63,2022-05-05 17:15:00,2022-09-28 21:15:00,1.8997422314758687,439955.8201456597,439.9558201456615,59.25925925925925,1242,-3.338249377752821,2.852037828769479,920.5273182522664,-469.4709211225475,2022
64,2018-08-13 19:00:00,2019-01-08 13:15:00,1.9501911964526557,403660.26810362854,403.66026810363184,64.76595744680851,1175,-2.104805495286262,3.036887111675945,790.8480275762188,-478.6837702460759,2018
65,2018-12-18 07:30:00,2019-05-15 02:45:00,1.5994162611706624,304165.492871289,304.165492871292,60.90819348469891,1013,-1.9999999999997673,2.6082695243068956,799.4998985715688,-477.5907690590149,2018
66,2024-07-24 15:45:00,2024-12-18 00:30:00,1.6412480897947186,218655.87799278364,218.65587799278518,61.21794871794872,936,-1.989252065564861,2.2767682076483946,680.4767531917653,-471.78319996170484,2024
67,2023-10-26 18:30:00,2024-03-22 14:30:00,1.440768664796754,207390.3075460494,207.39030754605028,59.4535519125683,915,-2.032970438262932,2.207802170919334,696.873429683361,-462.8270571474395,2023
68,2019-10-06 23:15:00,2020-03-02 17:45:00,1.611873238351649,268260.3721844874,268.2603721844894,59.83754512635379,1108,-3.575906143921507,2.282217290174653,720.1755231902065,-470.14831391150665,2019
69,2021-01-07 16:45:00,2021-06-03 17:30:00,1.636020552868036,244408.5152716181,244.40851527161996,58.700209643605874,954,-2.800859734455123,2.3392957973554394,762.3193442161095,-463.17339464315785,2021
70,2023-04-24 01:45:00,2023-10-15 20:15:00,1.6378748028542434,272963.90797025984,272.9639079702615,59.66697502312673,1081,-2.4295112405029533,2.323145840077109,743.0435544374935,-473.1632675273494,2023
71,2022-02-01 01:00:00,2022-06-27 05:45:00,1.7725218191406287,301394.3142893622,301.3943142893639,58.41035120147874,1082,-3.5587963396028757,2.422011833584788,812.2524447311276,-470.9982906238022,2022
72,2018-11-06 03:30:00,2019-04-02 22:45:00,1.9083110946116653,387555.031094593,387.5550310945955,61.16071428571429,1120,-1.9175816642180272,2.8426534863062867,872.8167211461654,-483.50442043800285,2018
73,2018-09-14 03:45:00,2019-02-10 22:00:00,2.2321283656840754,407104.7577961801,407.1047577961822,63.86554621848739,1190,-1.6916173832957608,2.9606885735341506,808.8662138152757,-482.8687551242587,2018
74,2019-08-29 01:45:00,2020-01-23 20:15:00,1.7643455238254981,282152.42906549835,282.1524290655006,59.69479353680431,1114,-2.403168990977317,2.3459344794621244,739.5271244921729,-466.88888356747754,2019
75,2019-11-21 18:30:00,2020-04-17 14:00:00,2.0745267943651484,471486.3070815695,471.4863070815661,61.62881754111198,1277,-2.391211857664114,3.0126687286459846,896.7542275225802,-478.0801428136776,2019
76,2023-08-29 17:30:00,2024-01-24 15:15:00,1.5058462475328989,218512.7332668664,218.5127332668678,58.78725590955807,973,-2.6957381243201644,2.161963943503709,710.7821544646364,-468.96423712445477,2023
77,2019-10-22 06:00:00,2020-03-17 23:30:00,1.636786220411087,299649.17086392007,299.6491708639215,60.30465949820788,1116,-5.68122773369955,2.4276875018675756,757.1076613607269,-473.7794249025955,2019
78,2019-03-05 10:30:00,2019-07-30 03:15:00,1.688547165030571,268570.79983372823,268.57079983373103,64.76510067114094,894,-1.5661247667571696,2.7870293114421725,723.4192966764003,-477.10785060923246,2019
79,2020-01-24 04:00:00,2020-06-18 08:45:00,2.203147264277605,523463.5415498399,523.4635415498326,62.30529595015576,1284,-2.0096064845697117,3.2496805268671425,945.1838034244822,-480.7510355160066,2020
80,2024-08-07 04:45:00,2025-01-02 04:30:00,1.6991928848807802,230267.2012871285,230.26720128713006,61.47455867082036,963,-2.040145193003472,2.319227481164368,683.8077751747918,-470.47709330552345,2024
81,2019-10-23 01:00:00,2020-03-18 18:30:00,1.714848203435458,335800.28396392113,335.8002839639227,60.7550482879719,1139,-5.712780737843062,2.584828641711115,791.4516895892631,-474.01406092136375,2019
82,2020-12-02 17:45:00,2021-04-29 13:30:00,1.8422743202751088,313651.149342599,313.6511493426024,59.71291866028709,1045,-2.1462984786632613,2.5703509518179555,822.7312562232435,-474.4255452273302,2020
83,2023-01-16 09:15:00,2023-07-27 21:00:00,1.7436019299654082,332647.29609540274,332.64729609540586,61.58139534883721,1075,-1.7920121887796139,2.6954157525047995,798.8689772535553,-475.07013764274075,2023
84,2021-06-03 02:00:00,2021-10-27 05:45:00,1.4274171981926382,188608.43364150694,188.6084336415077,58.93824485373781,923,-2.5241557808245116,2.0757313705846747,669.0052467406167,-462.61324692714817,2021
85,2022-09-15 06:30:00,2023-02-08 14:15:00,1.9458581372956585,600369.7429595547,600.3697429595472,61.50793650793651,1260,-1.2872273545070514,3.6225770894575255,1070.055903945981,-472.0073868011879,2022
86,2023-03-20 16:45:00,2023-09-21 05:30:00,1.7677862938766318,296376.08937445533,296.3760893744579,60.3290676416819,1094,-1.6758763609581502,2.4587016033655207,756.900151002404,-468.15209743578896,2023
87,2018-07-25 22:00:00,2018-12-19 01:45:00,1.981068153859462,396656.9624473961,396.65696244739974,65.30078465562337,1147,-1.6615465881938685,3.097241584082416,782.0956769253967,-475.20778786363576,2018
88,2022-12-01 13:30:00,2023-05-25 18:15:00,1.748255121452985,336701.96083241055,336.70196083241376,60.982658959537574,1038,-1.933168960277083,2.7447073591020823,836.7878956562209,-476.50562251352716,2022
89,2019-01-28 07:45:00,2019-06-24 00:30:00,1.6595260032465382,277335.01079482207,277.33501079482545,63.14067611777535,917,-2.1378139064956776,2.716474414338133,758.0440082594857,-478.0250591343811,2019
90,2019-03-20 08:45:00,2019-08-14 02:30:00,1.6400359118267833,228938.19776453177,228.93819776453367,63.72093023255814,860,-2.0348315697410446,2.549264693319606,687.4276691306774,-473.6287337150003,2019
91,2022-03-29 03:30:00,2022-08-22 07:30:00,1.7206620935540031,338501.70768569363,338.5017076856953,59.27240461401952,1127,-7.336166205990725,2.5553228579106193,832.5486609581734,-474.16295824480926,2022
92,2022-08-16 18:45:00,2023-01-10 01:30:00,2.2166802310463583,636364.2554908396,636.3642554908347,61.544227886056966,1334,-1.8321670568528108,3.6441664301928838,1068.2478715452978,-469.13693381646186,2022
93,2024-06-17 07:00:00,2024-11-08 15:45:00,1.61259153064851,195862.0293350431,195.86202933504438,62.85390713476784,883,-1.8889649717860002,2.2673127060958986,631.3713916807542,-471.18625929200044,2024
94,2018-08-29 13:30:00,2019-01-24 07:45:00,1.7763102467230873,413372.2546017452,413.3722546017476,64.07438715131023,1183,-2.831950372311071,3.0146194609320185,816.040271195961,-482.7912257995175,2018
95,2019-06-13 17:45:00,2019-11-06 21:30:00,1.8948269572865917,284388.9215249719,284.388921524974,62.082514734774065,1018,-2.33427718460861,2.580964735623009,734.6077129553444,-466.0185312507944,2019
96,2019-09-25 05:45:00,2020-02-20 00:15:00,1.5951417087468531,262158.81771617633,262.1588177161786,59.854014598540154,1096,-3.2509183222773337,2.277994206679313,712.3351262916135,-466.21142075255244,2019
97,2022-03-14 22:30:00,2022-08-08 04:15:00,1.7445499070298875,339464.86579028174,339.46486579028306,58.838599487617415,1171,-5.7630477041189145,2.486428051993755,824.1525641791734,-473.8096492306432,2022
98,2022-06-06 11:30:00,2022-10-28 15:30:00,2.143269151930947,571857.0023028068,571.8570023028047,60.92916984006093,1313,-2.515718298738042,3.388390460508863,1014.1111992661769,-466.7289612283316,2022
99,2019-03-20 05:30:00,2019-08-13 23:15:00,1.6472081236230807,230669.9750245319,230.66997502453393,63.69942196531792,865,-2.2777040366617105,2.550491485756081,688.6427222207101,-473.796703563949,2019
100,2020-08-20 19:45:00,2021-01-18 09:30:00,2.112183244534821,420153.5068127764,420.15350681277874,60.39682539682539,1260,-1.6768838425655537,2.7453761424161987,868.4326758898299,-482.4123437663042,2020
