trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
272,2010-07-06 02:30:00,0.844328,long,1.000000,63.429093,False,Standard (NTI+MB+IC),0.843828,5.000000,0.845088,0.845847,0.846861,2010-07-06 02:45:00,0.845088,take_profit_1,1,0.250000,768.627847,7.598949,768.627847,PPT,0.700000,540.659387,768.627847,TP1,0.300000,227.968460,,,
273,2010-07-06 03:00:00,0.846710,long,1.000000,67.316804,False,Standard (NTI+MB+IC),0.846210,5.000000,0.847472,0.848234,0.849250,2010-07-06 03:15:00,0.847472,take_profit_1,1,0.250000,1271.390210,7.620393,1271.390210,PPT,0.700000,1042.778425,1271.390210,TP1,0.300000,228.611785,,,
274,2010-07-06 03:30:00,0.849549,long,1.000000,72.284554,False,Standard (NTI+MB+IC),0.849049,5.000000,0.850313,0.851078,0.852097,2010-07-06 03:45:00,0.848857,stop_loss,0,0.250000,-691.649543,-6.916495,-691.649543,,,,,,,,,,
275,2010-07-06 04:00:00,0.847414,long,1.000000,69.491922,False,Standard (NTI+MB+IC),0.846914,5.000000,0.848177,0.848940,0.849957,2010-07-06 04:30:00,0.848177,take_profit_1,1,0.500000,638.707766,7.626730,638.707766,PPT,0.700000,409.905872,638.707766,TP1,0.300000,228.801893,,,
276,2010-07-06 04:45:00,0.847823,long,1.000000,64.659061,False,Standard (NTI+MB+IC),0.847323,5.000000,0.848586,0.849349,0.850366,2010-07-06 05:00:00,0.848586,take_profit_1,1,0.250000,1052.991103,7.630405,1052.991103,PPT,0.700000,824.078962,1052.991103,TP1,0.300000,228.912141,,,
277,2010-07-06 05:15:00,0.847918,long,1.000000,65.175095,False,Standard (NTI+MB+IC),0.847418,5.000000,0.848681,0.849444,0.850462,2010-07-06 05:45:00,0.848681,take_profit_1,1,0.500000,426.400340,7.631261,426.400340,PPT,0.700000,197.462504,426.400340,TP1,0.300000,228.937836,,,
278,2010-07-06 06:00:00,0.847703,long,1.000000,61.966684,False,Standard (NTI+MB+IC),0.847203,5.000000,0.848466,0.849229,0.850246,2010-07-06 07:15:00,0.848466,take_profit_1,1,1.250000,366.574874,7.629330,366.574874,PPT,0.700000,137.694985,366.574874,TP1,0.300000,228.879889,,,
279,2010-07-06 07:30:00,0.849727,long,1.000000,55.369593,False,Standard (NTI+MB+IC),0.849227,5.000000,0.850492,0.851257,0.852277,2010-07-06 07:45:00,0.850492,take_profit_1,1,0.250000,840.191843,7.647547,840.191843,PPT,0.700000,610.765424,840.191843,TP1,0.300000,229.426419,,,
280,2010-07-06 08:00:00,0.850405,long,1.000000,58.886283,False,Standard (NTI+MB+IC),0.849905,5.000000,0.851170,0.851936,0.852956,2010-07-06 08:15:00,0.851170,take_profit_1,1,0.250000,1976.212213,7.653644,1976.212213,PPT,0.700000,1746.602902,1976.212213,TP1,0.300000,229.609310,,,
281,2010-07-06 08:30:00,0.852437,long,1.000000,64.799736,False,Standard (NTI+MB+IC),0.851937,5.000000,0.853205,0.853972,0.854995,2010-07-06 09:00:00,0.853205,take_profit_1,1,0.500000,693.908242,7.671937,693.908242,PPT,0.700000,463.750117,693.908242,TP1,0.300000,230.158125,,,
