trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl
63,2025-04-06 19:15:00,0.600017,short,1.000000,43.119122,False,0.601017,10.000000,0.599117,0.598217,0.597017,2025-04-06 20:00:00,0.597017,take_profit_3,3,0.750000,1650.046421
64,2025-04-06 20:15:00,0.599034,short,1.000000,47.251009,False,0.600034,10.000000,0.598135,0.597237,0.596039,2025-04-06 20:30:00,0.600082,stop_loss,0,0.250000,-1048.201101
65,2025-04-06 20:45:00,0.599942,short,1.000000,42.930961,False,0.600942,10.000000,0.599042,0.598142,0.596943,2025-04-06 21:15:00,0.601051,stop_loss,1,0.500000,-104.196649
66,2025-04-06 22:30:00,0.601249,short,1.000000,12.807318,False,0.602249,10.000000,0.600347,0.599445,0.598242,2025-04-06 23:15:00,0.602263,stop_loss,0,0.750000,-1014.111634
67,2025-04-07 08:30:00,0.605961,long,1.000000,43.817998,False,0.604961,10.000000,0.606870,0.607779,0.608991,2025-04-07 08:45:00,0.605964,trailing_stop,2,0.250000,909.698872
68,2025-04-07 09:00:00,0.606114,long,1.000000,50.738030,False,0.605114,10.000000,0.607023,0.607932,0.609144,2025-04-07 09:15:00,0.604996,stop_loss,0,0.250000,-1118.038099
69,2025-04-07 09:30:00,0.604351,long,1.000000,47.537742,False,0.603351,10.000000,0.605258,0.606164,0.607373,2025-04-07 10:00:00,0.607373,take_profit_3,3,0.500000,1661.965454
70,2025-04-07 10:15:00,0.605567,long,1.000000,51.308211,False,0.604567,10.000000,0.606476,0.607384,0.608595,2025-04-07 10:30:00,0.604429,stop_loss,1,0.250000,-115.085692
71,2025-04-07 10:45:00,0.600805,long,1.000000,42.051475,False,0.602169,13.639287,0.601707,0.602608,0.603809,2025-04-07 11:00:00,0.601973,stop_loss,2,0.250000,1193.077135
72,2025-04-07 11:45:00,0.597877,short,1.000000,33.323075,False,0.598877,10.000000,0.596980,0.596083,0.594888,2025-04-07 12:45:00,0.594888,take_profit_3,3,1.000000,1644.162023
73,2025-04-08 00:30:00,0.605763,long,1.000000,41.167010,False,0.604763,10.000000,0.606671,0.607580,0.608792,2025-04-08 01:00:00,0.604650,stop_loss,0,0.500000,-1112.364105
74,2025-04-08 01:15:00,0.604482,long,1.000000,42.254971,False,0.603482,10.000000,0.605389,0.606296,0.607504,2025-04-08 02:00:00,0.605389,tp1_pullback,2,0.750000,1133.403893
75,2025-04-08 02:15:00,0.604776,long,1.000000,43.569431,False,0.603776,10.000000,0.605683,0.606590,0.607800,2025-04-08 02:30:00,0.604836,trailing_stop,1,0.250000,483.830164
76,2025-04-08 02:45:00,0.606005,long,1.000000,44.537079,False,0.605005,10.000000,0.606914,0.607823,0.609035,2025-04-08 04:00:00,0.604990,stop_loss,1,1.250000,-53.328400
77,2025-04-08 04:15:00,0.606351,long,1.000000,36.428902,False,0.605351,10.000000,0.607261,0.608170,0.609383,2025-04-08 05:00:00,0.605153,stop_loss,0,0.750000,-1198.459304
78,2025-04-08 05:30:00,0.604394,long,1.000000,14.927281,False,0.603394,10.000000,0.605301,0.606208,0.607416,2025-04-08 07:00:00,0.603373,stop_loss,0,1.500000,-1021.802158
79,2025-04-08 12:30:00,0.599130,short,1.000000,45.150985,False,0.600130,10.000000,0.598232,0.597333,0.596135,2025-04-08 12:45:00,0.600131,stop_loss,1,0.250000,-51.073107
80,2025-04-08 13:00:00,0.597913,short,1.000000,51.614788,False,0.598913,10.000000,0.597016,0.596119,0.594923,2025-04-08 13:15:00,0.599093,stop_loss,0,0.250000,-1180.305381
