trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
39,2016-07-29 16:15:00,0.760089,long,1.000000,17.118734,False,Standard (NTI+MB+IC),0.759589,5.000000,0.760773,0.761457,0.762369,2016-07-31 17:00:00,0.759523,stop_loss,0,48.750000,-1.192286,PPT,0.700000,168.671072,,,,168.671072,-5.662112,-1.192286,,,
40,2016-08-01 05:00:00,0.758046,short,1.000000,34.406472,False,Standard (NTI+MB+IC),0.758546,5.000000,0.757364,0.756682,0.755772,2016-08-01 06:30:00,0.757364,take_profit_1,1,1.500000,614.914781,PPT,0.700000,410.242345,TP1,0.300000,204.672436,614.914781,6.822415,614.914781,,,
41,2016-08-01 07:15:00,0.756568,short,1.000000,45.053362,False,Standard (NTI+MB+IC),0.757068,5.000000,0.755887,0.755206,0.754298,2016-08-01 10:30:00,0.755887,take_profit_1,1,3.250000,384.959694,PPT,0.700000,180.686301,TP1,0.300000,204.273393,384.959694,6.809113,384.959694,,,
42,2016-08-01 10:45:00,0.755613,short,1.000000,51.911080,False,Standard (NTI+MB+IC),0.756113,5.000000,0.754933,0.754253,0.753347,2016-08-01 11:30:00,0.756308,stop_loss,0,0.750000,-694.527414,,,,,,,,-6.945274,-694.527414,,,
43,2016-08-01 13:00:00,0.756401,short,1.000000,24.519877,False,Standard (NTI+MB+IC),0.756901,5.000000,0.755720,0.755039,0.754131,2016-08-01 15:00:00,0.755720,take_profit_1,1,2.000000,764.645248,PPT,0.700000,560.417087,TP1,0.300000,204.228161,764.645248,6.807605,764.645248,,,
44,2016-08-01 15:15:00,0.755066,short,1.000000,26.013613,False,Standard (NTI+MB+IC),0.755566,5.000000,0.754386,0.753707,0.752801,2016-08-01 15:45:00,0.754386,take_profit_1,1,0.500000,320.093545,PPT,0.700000,116.225715,TP1,0.300000,203.867830,320.093545,6.795594,320.093545,,,
45,2016-08-01 16:00:00,0.753441,short,1.000000,46.089957,False,Standard (NTI+MB+IC),0.753941,5.000000,0.752763,0.752085,0.751181,2016-08-01 17:00:00,0.752763,take_profit_1,1,1.000000,582.193763,PPT,0.700000,378.764668,TP1,0.300000,203.429095,582.193763,6.780970,582.193763,,,
46,2016-08-01 17:15:00,0.753215,short,1.000000,56.506007,False,Standard (NTI+MB+IC),0.753715,5.000000,0.752537,0.751859,0.750956,2016-08-01 18:00:00,0.753912,stop_loss,0,0.750000,-696.945488,,,,,,,,-6.969455,-696.945488,,,
47,2016-08-01 18:15:00,0.753712,short,1.000000,46.537154,False,Standard (NTI+MB+IC),0.754212,5.000000,0.753034,0.752355,0.751451,2016-08-01 18:30:00,0.753034,take_profit_1,1,0.250000,736.982188,PPT,0.700000,533.479917,TP1,0.300000,203.502271,736.982188,6.783409,736.982188,,,
48,2016-08-01 18:45:00,0.752423,short,1.000000,47.480965,False,Standard (NTI+MB+IC),0.752923,5.000000,0.751746,0.751068,0.750165,2016-08-01 20:00:00,0.752995,stop_loss,0,1.250000,-572.499921,,,,,,,,-5.724999,-572.499921,,,
49,2016-08-01 20:15:00,0.753653,short,1.000000,40.435872,False,Standard (NTI+MB+IC),0.754153,5.000000,0.752974,0.752296,0.751392,2016-08-01 21:15:00,0.752974,take_profit_1,1,1.000000,492.245042,PPT,0.700000,288.758864,TP1,0.300000,203.486178,492.245042,6.782873,492.245042,,,
50,2016-08-01 21:30:00,0.753301,short,1.000000,30.141119,False,Standard (NTI+MB+IC),0.753801,5.000000,0.752623,0.751945,0.751041,2016-08-01 22:45:00,0.753868,stop_loss,0,1.250000,-567.415839,,,,,,,,-5.674158,-567.415839,,,
51,2016-08-01 23:30:00,0.753920,short,1.000000,17.721052,False,Standard (NTI+MB+IC),0.754420,5.000000,0.753241,0.752563,0.751658,2016-08-02 00:15:00,0.753241,take_profit_1,1,0.750000,2205.301221,PPT,0.700000,2001.742920,TP1,0.300000,203.558301,2205.301221,6.785277,2205.301221,,,
52,2016-08-02 00:30:00,0.752018,short,1.000000,28.975274,False,Standard (NTI+MB+IC),0.752518,5.000000,0.751341,0.750664,0.749762,2016-08-02 01:00:00,0.751341,take_profit_1,1,0.500000,474.333906,PPT,0.700000,271.289166,TP1,0.300000,203.044740,474.333906,6.768158,474.333906,,,
53,2016-08-02 01:15:00,0.752790,short,1.000000,41.070133,False,Standard (NTI+MB+IC),0.753290,5.000000,0.752112,0.751435,0.750532,2016-08-02 01:30:00,0.753487,stop_loss,0,0.250000,-696.798944,,,,,,,,-6.967989,-696.798944,,,
54,2016-08-02 02:45:00,0.754749,short,1.000000,10.743011,False,Standard (NTI+MB+IC),0.754601,1.485661,0.754070,0.753391,0.752485,2016-08-02 03:15:00,0.754688,stop_loss,0,0.500000,171.948612,PPT,0.700000,153.525352,,,,153.525352,0.614109,171.948612,,,
55,2016-08-02 04:15:00,0.755996,long,1.000000,30.603914,False,Standard (NTI+MB+IC),0.755496,5.000000,0.756677,0.757357,0.758264,2016-08-02 04:45:00,0.756677,take_profit_1,1,0.500000,640.633152,PPT,0.700000,436.514122,TP1,0.300000,204.119030,640.633152,6.803968,640.633152,,,
56,2016-08-02 06:00:00,0.757745,long,1.000000,47.778439,False,Standard (NTI+MB+IC),0.757245,5.000000,0.758427,0.759108,0.760018,2016-08-02 07:30:00,0.758427,take_profit_1,1,1.500000,635.410586,PPT,0.700000,430.819560,TP1,0.300000,204.591027,635.410586,6.819701,635.410586,,,
57,2016-08-02 07:45:00,0.760008,long,1.000000,61.968432,False,Standard (NTI+MB+IC),0.759508,5.000000,0.760692,0.761376,0.762288,2016-08-02 08:15:00,0.760692,take_profit_1,1,0.500000,556.700597,PPT,0.700000,351.498475,TP1,0.300000,205.202122,556.700597,6.840071,556.700597,,,
