sim,start_date,end_date,sharpe,return,pnl,trades,win_rate,max_dd,profit_factor,annual_return,annual_pnl
28,2010-02-03 23:30:00,2010-06-09 23:00:00,3.369250117313706,10.66794207135709,106679.42071356985,2204,57.4410163339383,3.7830056512745105,1.1997618984039788,43.26443173383708,432644.3173383666
29,2019-08-05 03:30:00,2019-12-09 03:15:00,3.0559274647600154,2.2727336121746338,22727.33612174604,819,66.9108669108669,1.260483404937803,1.2238500799187035,9.217197427152682,92171.9742715256
30,2019-11-05 10:15:00,2020-03-12 02:45:00,1.7673122670368182,1.5590026554258773,15590.026554258928,920,64.23913043478261,0.9739240768515981,1.1105913786356638,6.32262188033828,63226.218803383425
31,2024-03-20 17:45:00,2024-07-24 19:30:00,0.29636772592866534,0.40874669911649547,4087.4669911645683,973,66.18705035971223,1.2113925532039695,1.0280485610349834,1.6576949464168982,16576.949464167414
32,2018-07-23 05:00:00,2018-11-26 04:45:00,1.9848006252975563,2.186010411091754,21860.1041109209,1089,66.29935720844811,1.4326656183547928,1.131088181098883,8.865486667205447,88654.86667206809
33,2011-06-02 23:00:00,2011-10-06 22:45:00,3.939423060382475,11.457745462650525,114577.4546265101,2536,56.7429022082019,2.0036320919985946,1.1730243666695495,46.46752326519379,464675.2326519576
34,2011-03-20 18:15:00,2011-07-24 18:00:00,-1.3333727865053224,-2.706127520144417,-27061.275201442164,2100,56.14285714285714,5.221151846546782,0.9511028697063731,-10.974850498363468,-109748.50498362655
35,2024-02-29 07:45:00,2024-07-04 08:30:00,1.0865727205225983,0.5935291725414805,5935.2917254126,1012,65.51383399209486,1.3050772329203653,1.0397643860294215,2.4070905330848933,24070.905330839985
36,2019-08-12 04:15:00,2019-12-16 06:00:00,2.226938783879925,1.7908617046312778,17908.61704631359,749,67.28971962616822,1.2392163816196395,1.1864608754366726,7.262939135449071,72629.391354494
37,2012-07-23 15:15:00,2012-11-26 15:00:00,1.6735661855253616,2.1488809086556664,21488.80908655716,1454,63.755158184319114,2.8736539592039456,1.0759707013425575,8.714905907325758,87149.05907325959
38,2022-09-01 15:00:00,2023-01-05 17:00:00,4.386407396450538,7.306096462805289,73060.96462804991,1929,64.80041472265422,1.2438214269673837,1.1966275797813282,29.630280099154785,296302.80099153577
39,2016-08-10 19:30:00,2016-12-14 19:15:00,1.544782251705518,2.2581858736612137,22581.8587366118,1436,64.20612813370474,1.799655573117229,1.087524638920976,9.158198265403811,91581.98265403675
40,2015-01-07 12:00:00,2015-05-13 11:45:00,0.302290051834723,0.4861530162255978,4861.530162256229,1831,60.18569087930092,3.8187491332429593,1.0113361460248989,1.9716205658038133,19716.20565803915
41,2016-03-21 03:00:00,2016-07-25 02:45:00,2.3920090474543794,3.5912739314036908,35912.739314035985,1696,64.7995283018868,1.3837195506271933,1.112204989294472,14.564610944026079,145646.10944025705
42,2024-05-01 22:30:00,2024-09-04 22:15:00,0.19954551980097335,0.10336118448728229,1033.6118448748086,925,64.64864864864865,1.376862799868513,1.0068598258906316,0.4191870259762004,4191.870259770057
43,2011-08-24 05:00:00,2011-12-28 14:00:00,3.5354290758557916,9.7083447072268,97083.44707227295,2745,56.42987249544626,1.843640347760108,1.1291739605171014,39.372731312642024,393727.3131264403
44,2019-08-26 22:45:00,2019-12-31 16:15:00,2.3318093560369473,1.6739461648512515,16739.461648512664,726,68.59504132231406,0.7793115744767896,1.1797822272860825,6.788781668563408,67887.8166856347
45,2023-07-17 22:00:00,2023-11-23 09:30:00,1.9970655486147983,2.4415186532868423,24415.18653286511,1347,68.44840386043059,1.466280663947675,1.110153603273554,9.901714538329971,99017.14538328628
46,2016-05-30 14:30:00,2016-10-03 14:15:00,0.49244975228889276,0.901173084059183,9011.73084058939,1413,61.924982307147914,1.9013793135295696,1.0318367721109787,3.6547575075733527,36547.57507572363
47,2010-09-22 20:45:00,2011-01-27 00:00:00,-0.6548480920049158,-1.2968171356632725,-12968.171356633848,2113,57.548509228584955,3.133261295871014,0.9761916020429249,-5.259313939078827,-52593.13939079282
48,2017-03-21 14:30:00,2017-07-25 14:15:00,3.4476289463379652,3.5841471946187897,35841.471946186844,999,66.96696696696696,1.1929164955065206,1.247581423189386,14.53570806706509,145357.08067064665
49,2024-11-28 05:45:00,2025-04-06 22:30:00,2.122982566664849,2.5087679101012066,25087.679101014637,1151,65.76889661164205,1.1238475285713154,1.1229836181766595,10.174447635410448,101744.47635411492
50,2023-04-21 14:15:00,2023-09-24 23:00:00,1.9815604384401468,3.0577985848578044,30577.985848577286,1424,67.06460674157303,1.3489120268273351,1.1254766669170104,12.401072038589984,124010.72038589677
