iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
57,-5.180608,194,32.989691,0.623399,-4.270189,-5.446505,5.417895,-267.041650,1339.942240,-1058.172180,3136.276285,-1197.384102,0.956203,1.266280,-267.041650,-2.952758,1.644068,2018-12-21 02:00:00,2019-04-19 00:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
58,-4.547936,323,39.628483,0.782795,-3.138553,-4.058780,5.415629,-140.802983,1280.507439,-1073.765721,3098.900613,-2576.152050,0.839780,1.192539,-140.802983,-1.960299,2.760684,2020-01-09 11:30:00,2020-05-05 20:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
59,-1.443613,218,38.532110,0.897800,-1.096672,-1.743900,2.506381,-66.220762,1509.733666,-1054.132492,3360.258595,-1198.599903,0.575975,1.432205,-66.220762,-0.691689,1.847458,2020-08-25 12:30:00,2020-12-21 15:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
60,-2.862633,186,33.870968,0.764565,-2.384827,-4.449698,3.260588,-153.905011,1475.601169,-988.530128,3207.619132,-1184.724156,0.877950,1.492723,-153.905011,-1.611082,1.617391,2021-09-07 02:00:00,2021-12-31 09:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
61,0.512401,142,40.845070,1.058177,0.421785,0.747958,1.562036,36.084600,1606.910074,-1048.532990,3121.359265,-1275.331310,0.328034,1.532532,36.084600,0.297202,1.213675,2019-05-09 19:00:00,2019-09-04 14:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
62,0.072468,196,43.367347,1.006172,0.196034,0.286262,2.390859,3.697331,1389.815158,-1057.744249,3034.739276,-1198.972562,0.030310,1.313943,3.697331,0.037790,1.647059,2023-09-25 10:30:00,2024-01-22 14:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
63,-1.465553,159,37.735849,0.859717,-1.139584,-1.720314,2.349221,-92.173145,1496.931480,-1055.266857,3121.323149,-1199.227048,0.623846,1.418534,-92.173145,-0.852827,1.382609,2019-06-24 13:45:00,2019-10-17 21:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
64,0.625449,171,40.935673,1.059091,0.673578,1.340283,1.601672,36.575976,1601.410993,-1047.963145,3358.652671,-1194.567658,0.390498,1.528118,36.575976,0.325654,1.449153,2021-03-17 15:30:00,2021-07-13 21:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
65,-2.163249,242,36.776860,0.866492,-1.594363,-2.204356,2.684550,-89.390452,1577.520772,-1059.031621,3414.154373,-1198.637504,0.805814,1.489588,-89.390452,-0.980238,2.068376,2018-02-09 03:00:00,2018-06-06 10:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
66,-0.211922,151,40.397351,0.978215,-0.181352,-0.248803,1.622773,-14.034575,1560.012850,-1080.888941,3161.559593,-1198.074654,0.130593,1.443268,-14.034575,-0.119715,1.313043,2024-06-03 19:00:00,2024-09-27 02:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
67,-5.875154,270,35.185185,0.692307,-4.066124,-6.182200,6.466370,-217.598299,1391.479563,-1091.097709,3665.860181,-2146.954234,0.908571,1.275302,-217.598299,-2.702652,1.956522,2022-12-15 08:00:00,2023-05-03 05:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
68,-4.968778,193,33.678756,0.633294,-4.186964,-5.333730,5.277650,-257.449620,1320.148712,-1058.573772,3136.182258,-1199.982194,0.941475,1.247101,-257.449620,-2.840267,1.635593,2018-12-24 01:45:00,2019-04-22 00:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
69,-0.211643,144,38.888889,0.976177,-0.107639,-0.204978,2.265354,-14.697411,1548.610297,-1009.529589,3358.542446,-1196.583017,0.093426,1.533992,-14.697411,-0.124670,1.220339,2021-05-26 20:00:00,2021-09-21 23:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
70,-2.036279,139,35.251799,0.785768,-1.924852,-2.733634,2.858712,-146.494862,1524.229839,-1056.111643,3060.097570,-1197.751269,0.712306,1.443247,-146.494862,-1.279643,1.188034,2019-08-22 07:30:00,2019-12-17 15:15:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
71,-2.912904,283,39.222615,0.839890,-1.865791,-3.513908,4.233618,-102.929470,1376.595110,-1057.738938,10922.499088,-1197.950693,0.688041,1.301451,-102.929470,-1.207880,2.398305,2024-11-08 10:15:00,2025-03-07 08:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
72,-0.657917,153,37.908497,0.933833,-0.491852,-0.746735,1.904932,-43.001117,1600.917113,-1046.656457,3121.347892,-1199.579822,0.345376,1.529554,-43.001117,-0.373580,1.307692,2019-06-13 18:00:00,2019-10-09 01:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
73,-6.221764,232,32.758621,0.629366,-4.929338,-6.555080,6.310376,-268.179498,1390.140345,-1076.078909,3140.051354,-1767.723186,0.985958,1.291857,-268.179498,-3.172806,1.966102,2018-10-31 04:45:00,2019-02-27 02:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
74,-0.498015,153,39.869281,0.950232,-0.429396,-0.538461,2.458713,-32.549978,1558.815578,-1087.694532,3066.553167,-1199.371896,0.202551,1.433137,-32.549978,-0.279811,1.307692,2024-06-11 21:45:00,2024-10-07 05:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
75,-3.513598,287,38.327526,0.812142,-2.093452,-3.836258,3.709275,-122.425025,1380.900156,-1056.694911,10915.395128,-1199.568858,0.947247,1.306811,-122.425025,-1.459075,2.432203,2024-11-15 14:45:00,2025-03-14 12:00:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
76,-3.070373,256,33.984375,0.828061,-1.778818,-2.893910,4.424361,-119.936433,1699.654205,-1056.648773,3230.382708,-1198.843656,0.693970,1.608533,-119.936433,-1.331367,2.226087,2018-06-12 02:45:00,2018-10-05 10:30:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
77,-2.127539,231,40.259740,0.856494,-1.629486,-2.014322,3.150360,-92.101240,1365.359996,-1074.303378,3098.902485,-2558.699456,0.675332,1.270926,-92.101240,-1.051187,1.957627,2019-11-22 13:15:00,2020-03-20 10:45:00,20250618_163657,Config 1: Ultra-Tight Risk Management,EURUSD
