trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
243,2022-09-23 05:15:00,0.657836,short,1.000000,65.080493,False,Standard (NTI+MB+IC),0.658336,5.000000,0.657244,0.656652,0.655863,2022-09-23 05:30:00,0.657877,trailing_stop,2,0.250000,581.873675,TP1,0.500000,296.026304,581.873675,-0.407157,581.873675,TP2,0.250000,296.026304,PPT,0.250000,-10.178933
244,2022-09-23 05:45:00,0.658240,short,1.000000,67.618940,False,Standard (NTI+MB+IC),0.658740,5.000000,0.657648,0.657056,0.656266,2022-09-23 06:15:00,0.658770,stop_loss,1,0.500000,31.677465,TP1,0.500000,296.208220,31.677465,-5.290615,31.677465,PPT,0.500000,-264.530755,,,
245,2022-09-23 06:30:00,0.657466,short,1.000000,60.120682,False,Standard (NTI+MB+IC),0.657966,5.000000,0.656874,0.656283,0.655494,2022-09-23 06:45:00,0.657214,trailing_stop,2,0.250000,654.630956,TP1,0.500000,295.859745,654.630956,2.516459,654.630956,TP2,0.250000,295.859745,PPT,0.250000,62.911467
246,2022-09-23 07:00:00,0.656572,short,1.000000,59.004275,False,Standard (NTI+MB+IC),0.657072,5.000000,0.655981,0.655390,0.654602,2022-09-23 07:15:00,0.657179,stop_loss,0,0.250000,-607.564823,PPT,1.000000,-607.564823,-607.564823,-6.075648,-607.564823,,,,,,
247,2022-09-23 07:30:00,0.656384,short,1.000000,56.787318,False,Standard (NTI+MB+IC),0.656884,5.000000,0.655794,0.655203,0.654415,2022-09-23 07:45:00,0.657041,stop_loss,0,0.250000,-656.997890,PPT,1.000000,-656.997890,-656.997890,-6.569979,-656.997890,,,,,,
248,2022-09-23 08:00:00,0.657766,short,1.000000,44.081265,False,Standard (NTI+MB+IC),0.658266,5.000000,0.657174,0.656582,0.655793,2022-09-23 08:15:00,0.658268,stop_loss,0,0.250000,-501.692515,PPT,1.000000,-501.692515,-501.692515,-5.016925,-501.692515,,,,,,
249,2022-09-23 08:30:00,0.657779,short,1.000000,33.892424,False,Standard (NTI+MB+IC),0.658279,5.000000,0.657187,0.656595,0.655806,2022-09-23 09:00:00,0.658407,stop_loss,0,0.500000,-628.104126,PPT,1.000000,-628.104126,-628.104126,-6.281041,-628.104126,,,,,,
250,2022-09-23 09:15:00,0.658598,short,1.000000,15.034507,False,Standard (NTI+MB+IC),0.659098,5.000000,0.658005,0.657412,0.656622,2022-09-23 09:30:00,0.658603,trailing_stop,2,0.250000,591.453672,TP1,0.500000,296.368875,591.453672,-0.051363,591.453672,TP2,0.250000,296.368875,PPT,0.250000,-1.284079
251,2022-09-23 09:45:00,0.656461,short,1.000000,29.078293,False,Standard (NTI+MB+IC),0.656961,5.000000,0.655870,0.655279,0.654491,2022-09-23 10:30:00,0.655921,trailing_stop,2,0.750000,725.893595,TP1,0.500000,295.407374,725.893595,5.403154,725.893595,TP2,0.250000,295.407374,PPT,0.250000,135.078847
252,2022-09-23 10:45:00,0.653532,short,1.000000,39.796824,False,Standard (NTI+MB+IC),0.654032,5.000000,0.652944,0.652356,0.651572,2022-09-23 11:00:00,0.654198,stop_loss,0,0.250000,-665.253182,PPT,1.000000,-665.253182,-665.253182,-6.652532,-665.253182,,,,,,
