num,direction,entry_price,exit_price,position_size,pnl,pnl_pct,tp_hits,partial_exits,exit_reason,pattern,sl_outcome
20,short,0.6260609594819545,0.6271146989667122,1000000.0,-1053.739484757732,-0.16831260100129355,0,0,stop_loss,Pure SL (Loss),Loss
21,long,0.6282562501271856,0.6295755882524526,1000000.0,1653.8822020431853,0.26324962174405264,0,4,take_profit_1,,
22,long,0.6295726127741181,0.6283889137433545,1000000.0,-1183.699030763652,-0.188016283864042,0,0,stop_loss,Pure SL (Loss),Loss
23,short,0.6281172408621564,0.628881440410231,1000000.0,-357.82421269839887,-0.056967742551891715,0,1,stop_loss,Partial Exit → SL (Loss),Loss
24,short,0.6289988646522342,0.628772494992026,1000000.0,226.36966020816996,0.03598888216329722,0,0,stop_loss,Pure SL (Profit),Profit
25,short,0.6283885839993955,0.6288099361099897,1000000.0,-200.27319429765214,-0.031870915449005804,0,1,stop_loss,Partial Exit → SL (Loss),Loss
26,short,0.6259039829646276,0.6269652516781142,1000000.0,-1061.2687134866628,-0.16955775044918345,0,0,stop_loss,Pure SL (Loss),Loss
27,short,0.6243436490591908,0.6253791158122737,1000000.0,-1035.4667530828588,-0.1658488485697228,0,0,stop_loss,Pure SL (Loss),Loss
28,long,0.6272789071508424,0.6285961928558592,1000000.0,1588.2734881886042,0.253200525329743,0,4,take_profit_1,,
29,short,0.6271801172830929,0.6279932606377655,1000000.0,-290.6673442100316,-0.046345114617023474,0,1,stop_loss,Partial Exit → SL (Loss),Loss
30,long,0.6296054965305014,0.6286024541930121,1000000.0,-380.15222118325755,-0.060379431767689624,0,1,stop_loss,Partial Exit → SL (Loss),Loss
31,short,0.6280489292503764,0.6267300264989506,1000000.0,1546.2603765357119,0.24620062299625123,0,4,take_profit_1,,
32,short,0.6248728835579772,0.6259555869980125,3000000.0,-3248.110320105746,-0.1732677907017536,0,0,stop_loss,Pure SL (Loss),Loss
33,short,0.6272822642836926,0.6282412517132,1000000.0,-404.17436415139844,-0.06443261465600882,0,1,stop_loss,Partial Exit → SL (Loss),Loss
34,short,0.6293385390974383,0.6280975659610097,1000000.0,1240.9731364285692,0.19718689692964023,0,0,stop_loss,Pure SL (Profit),Profit
35,short,0.629327160947688,0.6281309776535158,1000000.0,1196.1832941722594,0.19007336221925603,0,0,stop_loss,Pure SL (Profit),Profit
36,long,0.6300127818697805,0.6288227078019246,1000000.0,-1190.074067855873,-0.18889681322399796,0,0,stop_loss,Pure SL (Loss),Loss
37,long,0.6285745596958225,0.6273798088144809,1000000.0,-478.58779012035285,-0.07613858733830228,0,1,stop_loss,Partial Exit → SL (Loss),Loss
38,long,0.627253420867411,0.6281119286687136,1000000.0,858.5078013025882,0.13686777508768022,0,0,stop_loss,Pure SL (Profit),Profit
39,short,0.6268508816400153,0.6255344947885713,3000000.0,4771.841772404142,0.2537467794530699,0,4,take_profit_1,,
40,short,0.6285272816206414,0.6276611509071673,1000000.0,866.1307134740781,0.13780320103859012,0,0,stop_loss,Pure SL (Profit),Profit
41,short,0.6292401011980627,0.6277484111021644,1000000.0,1491.6900958983347,0.23706214735173128,0,0,stop_loss,Pure SL (Profit),Profit
42,long,0.6301076829714735,0.6289801180844051,3000000.0,-3382.694661204999,-0.17894796675878347,0,0,stop_loss,Pure SL (Loss),Loss
43,long,0.6290933735607869,0.6304144696452645,1000000.0,1613.6718485731772,0.25650752597177917,0,4,take_profit_1,,
44,long,0.6314667586398576,0.6327928388330013,1000000.0,1558.0890400593107,0.24674126052420298,0,4,take_profit_1,,
45,long,0.6334384937147987,0.6347687145515998,1000000.0,1627.6157025495718,0.25694928847857396,0,4,take_profit_1,,
46,long,0.6360541113686743,0.6349719765976946,3000000.0,-3246.4043129392107,-0.17013250156518556,0,0,stop_loss,Pure SL (Loss),Loss
47,long,0.6365484740515764,0.6354618787826699,1000000.0,-473.4152671876024,-0.07437222560198045,0,1,stop_loss,Partial Exit → SL (Loss),Loss
48,short,0.635259228878309,0.6339251844976646,1000000.0,1647.1494666799615,0.2592877666001593,0,4,take_profit_1,,
49,short,0.6341848944250684,0.6352962372067663,3000000.0,-3334.028345093665,-0.1752395541848085,0,0,stop_loss,Pure SL (Loss),Loss
