trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
49,2018-03-13 10:00:00,0.788661,long,1.000000,43.475737,False,Standard (NTI+MB+IC),0.788161,5.000000,0.789370,0.790080,0.791027,2018-03-13 10:45:00,0.788128,stop_loss,0,0.750000,-532.327828,,,,,,,,-5.323278,-532.327828
50,2018-03-13 15:15:00,0.785160,short,1.000000,30.746144,False,Standard (NTI+MB+IC),0.785660,5.000000,0.784454,0.783747,0.782805,2018-03-13 16:45:00,0.785820,stop_loss,0,1.500000,26.294186,PPT,0.700000,224.233539,,,,224.233539,-6.597978,26.294186
51,2018-03-13 17:00:00,0.785654,short,1.000000,34.491511,False,Standard (NTI+MB+IC),0.786154,5.000000,0.784947,0.784240,0.783297,2018-03-13 20:45:00,0.786229,stop_loss,0,3.750000,-64.803679,PPT,0.700000,107.720777,,,,107.720777,-5.750815,-64.803679
52,2018-03-14 03:45:00,0.788005,long,1.000000,39.725117,False,Standard (NTI+MB+IC),0.787505,5.000000,0.788714,0.789423,0.790369,2018-03-14 04:30:00,0.788714,take_profit_1,1,0.750000,426.481610,PPT,0.700000,213.720345,TP1,0.300000,212.761265,426.481610,7.092042,426.481610
53,2018-03-14 04:45:00,0.788788,long,1.000000,56.387132,False,Standard (NTI+MB+IC),0.788288,5.000000,0.789498,0.790208,0.791154,2018-03-14 07:00:00,0.789498,take_profit_1,1,2.250000,599.302961,PPT,0.700000,386.330174,TP1,0.300000,212.972787,599.302961,7.099093,599.302961
54,2018-03-14 07:15:00,0.789358,long,1.000000,57.076103,False,Standard (NTI+MB+IC),0.788858,5.000000,0.790068,0.790778,0.791726,2018-03-14 07:45:00,0.790068,take_profit_1,1,0.500000,774.866949,PPT,0.700000,561.740420,TP1,0.300000,213.126529,774.866949,7.104218,774.866949
55,2018-03-14 08:00:00,0.791079,long,1.000000,59.030989,False,Standard (NTI+MB+IC),0.790579,5.000000,0.791791,0.792503,0.793453,2018-03-14 08:15:00,0.790518,stop_loss,0,0.250000,-561.336913,,,,,,,,-5.613369,-561.336913
56,2018-03-14 08:30:00,0.790883,long,1.000000,63.828294,False,Standard (NTI+MB+IC),0.790383,5.000000,0.791595,0.792306,0.793256,2018-03-14 08:45:00,0.790318,stop_loss,0,0.250000,-564.807970,,,,,,,,-5.648080,-564.807970
57,2018-03-14 09:00:00,0.790685,long,1.000000,57.877038,False,Standard (NTI+MB+IC),0.790185,5.000000,0.791397,0.792108,0.793057,2018-03-14 09:30:00,0.790117,stop_loss,0,0.500000,-568.106139,,,,,,,,-5.681061,-568.106139
58,2018-03-14 10:30:00,0.788874,long,1.000000,21.485193,False,Standard (NTI+MB+IC),0.788374,5.000000,0.789584,0.790294,0.791241,2018-03-14 11:00:00,0.788211,stop_loss,0,0.500000,-662.821384,,,,,,,,-6.628214,-662.821384
59,2018-03-14 11:15:00,0.787027,long,1.000000,23.315132,False,Standard (NTI+MB+IC),0.788083,10.567724,0.787735,0.788443,0.789388,2018-03-14 11:30:00,0.787979,stop_loss,0,0.250000,603.156738,PPT,0.700000,317.445697,,,,317.445697,9.523701,603.156738
60,2018-03-14 12:15:00,0.787819,short,1.000000,42.080429,False,Standard (NTI+MB+IC),0.788319,5.000000,0.787110,0.786401,0.785456,2018-03-14 13:45:00,0.788514,stop_loss,0,1.500000,-62.002961,PPT,0.700000,146.420519,,,,146.420519,-6.947449,-62.002961
61,2018-03-15 01:45:00,0.786747,short,1.000000,36.360139,False,Standard (NTI+MB+IC),0.787247,5.000000,0.786039,0.785331,0.784387,2018-03-15 02:00:00,0.786039,take_profit_1,1,0.250000,602.325295,PPT,0.700000,389.903604,TP1,0.300000,212.421691,602.325295,7.080723,602.325295
62,2018-03-15 06:30:00,0.785343,short,1.000000,35.315212,False,Standard (NTI+MB+IC),0.785843,5.000000,0.784636,0.783930,0.782987,2018-03-15 07:15:00,0.784636,take_profit_1,1,0.750000,368.352629,PPT,0.700000,156.309938,TP1,0.300000,212.042691,368.352629,7.068090,368.352629
63,2018-03-15 07:30:00,0.784514,short,1.000000,52.050489,False,Standard (NTI+MB+IC),0.785014,5.000000,0.783808,0.783102,0.782161,2018-03-15 08:45:00,0.783808,take_profit_1,1,1.250000,354.948210,PPT,0.700000,143.129303,TP1,0.300000,211.818907,354.948210,7.060630,354.948210
64,2018-03-15 09:00:00,0.784274,short,1.000000,61.093605,False,Standard (NTI+MB+IC),0.784774,5.000000,0.783568,0.782862,0.781921,2018-03-15 09:30:00,0.783568,take_profit_1,1,0.500000,417.393049,PPT,0.700000,205.639132,TP1,0.300000,211.753918,417.393049,7.058464,417.393049
65,2018-03-15 09:45:00,0.782510,short,1.000000,67.125842,False,Standard (NTI+MB+IC),0.783010,5.000000,0.781805,0.781101,0.780162,2018-03-15 10:15:00,0.781805,take_profit_1,1,0.500000,399.943343,PPT,0.700000,188.665772,TP1,0.300000,211.277571,399.943343,7.042586,399.943343
66,2018-03-15 10:30:00,0.782345,short,1.000000,67.752163,False,Standard (NTI+MB+IC),0.782845,5.000000,0.781641,0.780937,0.779998,2018-03-15 10:45:00,0.783040,stop_loss,0,0.250000,-694.965793,,,,,,,,-6.949658,-694.965793
67,2018-03-15 11:00:00,0.783191,short,1.000000,61.065736,False,Standard (NTI+MB+IC),0.783691,5.000000,0.782487,0.781782,0.780842,2018-03-15 11:30:00,0.782487,take_profit_1,1,0.500000,548.464636,PPT,0.700000,337.002949,TP1,0.300000,211.461687,548.464636,7.048723,548.464636
68,2018-03-15 11:45:00,0.781312,short,1.000000,60.250588,False,Standard (NTI+MB+IC),0.781812,5.000000,0.780609,0.779906,0.778968,2018-03-15 12:30:00,0.780609,take_profit_1,1,0.750000,814.610735,PPT,0.700000,603.656396,TP1,0.300000,210.954339,814.610735,7.031811,814.610735
69,2018-03-15 12:45:00,0.780471,short,1.000000,66.917866,False,Standard (NTI+MB+IC),0.780971,5.000000,0.779769,0.779067,0.778130,2018-03-15 13:45:00,0.780980,stop_loss,0,1.000000,-508.821385,,,,,,,,-5.088214,-508.821385
70,2018-03-15 14:00:00,0.780431,short,1.000000,61.390491,False,Standard (NTI+MB+IC),0.780931,5.000000,0.779728,0.779026,0.778089,2018-03-15 14:30:00,0.779728,take_profit_1,1,0.500000,736.204624,PPT,0.700000,525.488335,TP1,0.300000,210.716288,736.204624,7.023876,736.204624
71,2018-03-15 14:45:00,0.779789,short,1.000000,61.058469,False,Standard (NTI+MB+IC),0.780289,5.000000,0.779088,0.778386,0.777450,2018-03-15 18:45:00,0.779088,take_profit_1,1,4.000000,364.069929,PPT,0.700000,153.526812,TP1,0.300000,210.543117,364.069929,7.018104,364.069929
72,2018-03-15 19:30:00,0.778893,short,1.000000,38.837665,False,Standard (NTI+MB+IC),0.779393,5.000000,0.778192,0.777491,0.776556,2018-03-15 20:15:00,0.778192,take_profit_1,1,0.750000,555.246739,PPT,0.700000,344.945688,TP1,0.300000,210.301050,555.246739,7.010035,555.246739
73,2018-03-15 20:30:00,0.777928,short,1.000000,52.091554,False,Standard (NTI+MB+IC),0.778428,5.000000,0.777228,0.776528,0.775594,2018-03-15 21:15:00,0.777228,take_profit_1,1,0.750000,383.570592,PPT,0.700000,173.530059,TP1,0.300000,210.040533,383.570592,7.001351,383.570592
74,2018-03-15 21:30:00,0.778061,short,1.000000,57.633768,False,Standard (NTI+MB+IC),0.778561,5.000000,0.777361,0.776661,0.775727,2018-03-15 22:00:00,0.778691,stop_loss,0,0.500000,-629.975953,,,,,,,,-6.299760,-629.975953
75,2018-03-15 23:00:00,0.778772,short,1.000000,28.457014,False,Standard (NTI+MB+IC),0.779272,5.000000,0.778071,0.777370,0.776436,2018-03-15 23:45:00,0.778071,take_profit_1,1,0.750000,449.574089,PPT,0.700000,239.305686,TP1,0.300000,210.268404,449.574089,7.008947,449.574089
76,2018-03-16 00:00:00,0.778417,short,1.000000,28.964669,False,Standard (NTI+MB+IC),0.778917,5.000000,0.777716,0.777016,0.776082,2018-03-16 00:30:00,0.779061,stop_loss,0,0.500000,-643.675608,,,,,,,,-6.436756,-643.675608
77,2018-03-16 02:00:00,0.779780,short,1.000000,11.349310,False,Standard (NTI+MB+IC),0.780077,2.972945,0.779078,0.778376,0.777441,2018-03-16 04:00:00,0.779078,take_profit_1,1,2.000000,462.493539,PPT,0.700000,251.952957,TP1,0.300000,210.540582,462.493539,7.018019,462.493539
