trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
31,2022-02-11 08:00:00,0.716864,long,1.000000,40.483196,False,Standard (NTI+MB+IC),0.715864,10.000000,0.717939,0.719014,0.720448,2022-02-11 11:30:00,0.716895,trailing_stop,0,3.500000,1041.819905,0.314530,1041.819905,PPT,0.330000,354.847531,847.681973,PPT,0.335000,373.960518,PPT,0.110550,118.873923
32,2022-02-11 11:45:00,0.717827,long,1.000000,38.552898,False,Standard (NTI+MB+IC),0.716827,10.000000,0.718903,0.719980,0.721416,2022-02-11 13:30:00,0.716703,stop_loss,0,1.750000,-1124.034596,-11.240346,-1124.034596,,,,,,,,,,
33,2022-02-11 13:45:00,0.714622,long,1.000000,18.301889,False,Standard (NTI+MB+IC),0.715161,5.390723,0.715694,0.716766,0.718195,2022-02-11 14:00:00,0.715080,stop_loss,0,0.250000,458.111088,4.581111,458.111088,,,,,,,,,,
34,2022-02-11 14:15:00,0.714175,long,1.000000,22.225800,False,Standard (NTI+MB+IC),0.715155,9.798054,0.715247,0.716318,0.717746,2022-02-11 14:30:00,0.715130,stop_loss,0,0.250000,955.003063,9.550031,955.003063,,,,,,,,,,
35,2022-02-11 15:00:00,0.713389,short,1.000000,51.818752,False,Standard (NTI+MB+IC),0.714389,10.000000,0.712319,0.711249,0.709822,2022-02-13 18:00:00,0.713362,trailing_stop,0,51.000000,333.073849,0.268706,333.073849,PPT,0.500000,319.638551,319.638551,,,,,,
36,2022-02-13 18:15:00,0.714456,short,1.000000,22.335285,False,Standard (NTI+MB+IC),0.715411,9.542090,0.713385,0.712313,0.710884,2022-02-14 13:00:00,0.711439,trailing_stop,0,18.750000,874.087285,30.174047,874.087285,PPT,0.500000,338.244918,633.547646,PPT,0.165000,176.827981,PPT,0.110550,118.474747
37,2022-02-14 13:15:00,0.713624,long,1.000000,56.680150,False,Standard (NTI+MB+IC),0.712624,10.000000,0.714694,0.715765,0.717192,2022-02-14 13:45:00,0.712501,stop_loss,0,0.500000,-1123.082610,-11.230826,-1123.082610,,,,,,,,,,
38,2022-02-14 14:45:00,0.712039,long,1.000000,16.307038,False,Standard (NTI+MB+IC),0.711455,5.844498,0.713107,0.714175,0.715600,2022-02-14 15:45:00,0.712047,trailing_stop,0,1.000000,269.300313,0.079532,269.300313,PPT,0.500000,265.323726,265.323726,,,,,,
39,2022-02-15 01:15:00,0.710609,short,1.000000,44.690114,False,Standard (NTI+MB+IC),0.711609,10.000000,0.709543,0.708478,0.707056,2022-02-15 02:15:00,0.711678,stop_loss,0,1.000000,-1068.672213,-10.686722,-1068.672213,,,,,,,,,,
40,2022-02-15 03:30:00,0.715337,short,1.000000,39.892933,False,Standard (NTI+MB+IC),0.712672,26.645728,0.714264,0.713191,0.711760,2022-02-15 03:45:00,0.712720,stop_loss,0,0.250000,2616.417572,26.164176,2616.417572,,,,,,,,,,
41,2022-02-15 04:00:00,0.714643,long,1.000000,44.636029,False,Standard (NTI+MB+IC),0.713643,10.000000,0.715715,0.716787,0.718216,2022-02-15 05:15:00,0.713500,stop_loss,0,1.250000,-1143.003486,-11.430035,-1143.003486,,,,,,,,,,
42,2022-02-16 02:15:00,0.716896,long,1.000000,42.523639,False,Standard (NTI+MB+IC),0.715896,10.000000,0.717972,0.719047,0.720481,2022-02-16 05:15:00,0.716950,trailing_stop,0,3.000000,691.552757,0.532625,691.552757,PPT,0.500000,256.861030,553.172184,PPT,0.165000,177.431829,PPT,0.110550,118.879325
43,2022-02-16 22:45:00,0.715728,long,1.000000,16.524630,False,Standard (NTI+MB+IC),0.718855,31.265609,0.716802,0.717875,0.719307,2022-02-24 08:00:00,0.725825,trailing_stop,0,177.250000,1877.761783,100.966056,1877.761783,PPT,0.500000,1340.965731,1636.794035,PPT,0.165000,177.142697,PPT,0.110550,118.685607
44,2022-02-24 08:15:00,0.715633,short,1.000000,37.495348,False,Standard (NTI+MB+IC),0.716633,10.000000,0.714560,0.713486,0.712055,2022-02-24 14:00:00,0.711970,trailing_stop,0,5.750000,843.994601,36.630079,843.994601,PPT,0.500000,306.627539,602.416654,PPT,0.165000,177.119231,PPT,0.110550,118.669885
45,2022-02-24 14:15:00,0.715001,short,1.000000,15.387975,False,Standard (NTI+MB+IC),0.716001,10.000000,0.713928,0.712856,0.711426,2022-02-24 14:30:00,0.716151,stop_loss,0,0.250000,-1150.359794,-11.503598,-1150.359794,,,,,,,,,,
46,2022-02-24 14:45:00,0.715680,short,1.000000,19.439707,False,Standard (NTI+MB+IC),0.716503,8.229585,0.714607,0.713533,0.712102,2022-02-24 15:30:00,0.716648,stop_loss,0,0.750000,-967.121317,-9.671213,-967.121317,,,,,,,,,,
47,2022-02-24 15:45:00,0.717322,short,1.000000,26.777754,False,Standard (NTI+MB+IC),0.716467,8.550406,0.716246,0.715170,0.713735,2022-02-24 21:15:00,0.717282,trailing_stop,0,5.500000,857.645800,0.393747,857.645800,PPT,0.500000,320.929982,617.417039,PPT,0.165000,177.537160,PPT,0.110550,118.949897
48,2022-02-25 00:00:00,0.719667,long,1.000000,47.513809,False,Standard (NTI+MB+IC),0.718667,10.000000,0.720747,0.721826,0.723266,2022-02-25 01:30:00,0.719724,trailing_stop,0,1.500000,56.435757,0.564358,56.435757,,,,,,,,,,
49,2022-02-25 02:15:00,0.720941,long,1.000000,54.564923,False,Standard (NTI+MB+IC),0.719941,10.000000,0.722023,0.723104,0.724546,2022-02-25 03:00:00,0.719911,stop_loss,0,0.750000,-1030.301451,-10.303015,-1030.301451,,,,,,,,,,
50,2022-02-25 09:00:00,0.722461,long,1.000000,41.617647,False,Standard (NTI+MB+IC),0.721461,10.000000,0.723545,0.724629,0.726074,2022-02-25 09:45:00,0.721356,stop_loss,0,0.750000,-1105.279279,-11.052793,-1105.279279,,,,,,,,,,
51,2022-02-25 10:00:00,0.722054,long,1.000000,38.362324,False,Standard (NTI+MB+IC),0.721054,10.000000,0.723137,0.724220,0.725664,2022-02-25 11:30:00,0.722146,trailing_stop,0,1.500000,830.603025,0.919674,830.603025,PPT,0.500000,438.107786,736.550667,PPT,0.165000,178.708312,PPT,0.110550,119.734569
52,2022-02-27 17:00:00,0.718464,long,1.000000,21.574762,False,Standard (NTI+MB+IC),0.720849,23.843998,0.719542,0.720620,0.722057,2022-02-27 17:15:00,0.720685,stop_loss,0,0.250000,2220.396559,22.203966,2220.396559,,,,,,,,,,
53,2022-02-27 18:00:00,0.717436,short,1.000000,55.171847,False,Standard (NTI+MB+IC),0.718436,10.000000,0.716360,0.715283,0.713848,2022-02-27 18:45:00,0.718617,stop_loss,0,0.750000,-1181.337425,-11.813374,-1181.337425,,,,,,,,,,
54,2022-02-27 19:00:00,0.718497,short,1.000000,56.096216,False,Standard (NTI+MB+IC),0.719497,10.000000,0.717419,0.716341,0.714904,2022-02-27 20:00:00,0.718423,trailing_stop,0,1.000000,73.611161,0.736112,73.611161,,,,,,,,,,
55,2022-02-27 20:15:00,0.718794,short,1.000000,47.079540,False,Standard (NTI+MB+IC),0.719794,10.000000,0.717716,0.716638,0.715200,2022-02-28 01:00:00,0.718792,trailing_stop,0,4.750000,966.684527,0.019307,966.684527,PPT,0.500000,431.992405,729.087929,PPT,0.165000,177.901511,PPT,0.110550,119.194013
56,2022-02-28 02:45:00,0.720250,short,1.000000,37.112293,False,Standard (NTI+MB+IC),0.719463,7.866595,0.719169,0.718089,0.716648,2022-02-28 04:00:00,0.720236,trailing_stop,0,1.250000,625.533072,0.135391,625.533072,PPT,0.500000,324.797048,622.494212,PPT,0.165000,178.261775,PPT,0.110550,119.435389
57,2022-02-28 06:15:00,0.721998,long,1.000000,47.274357,False,Standard (NTI+MB+IC),0.720998,10.000000,0.723081,0.724164,0.725608,2022-03-14 12:00:00,0.740216,trailing_stop,0,341.750000,1027.395242,182.178921,1027.395242,PPT,0.500000,485.896587,784.316495,PPT,0.165000,178.694556,PPT,0.110550,119.725353
58,2022-03-14 12:15:00,0.720945,short,1.000000,41.873367,False,Standard (NTI+MB+IC),0.721945,10.000000,0.719863,0.718782,0.717340,2022-03-15 06:45:00,0.719526,trailing_stop,0,18.500000,1013.054081,14.185947,1013.054081,PPT,0.500000,472.345562,770.330027,PPT,0.165000,178.433811,PPT,0.110550,119.550653
59,2022-03-15 08:45:00,0.722279,long,1.000000,50.525939,False,Standard (NTI+MB+IC),0.721279,10.000000,0.723362,0.724445,0.725890,2022-03-15 10:00:00,0.721182,stop_loss,0,1.250000,-1096.716075,-10.967161,-1096.716075,,,,,,,,,,
60,2022-03-15 10:45:00,0.719530,long,1.000000,19.893102,False,Standard (NTI+MB+IC),0.719614,0.847385,0.720609,0.721688,0.723127,2022-03-15 11:00:00,0.719568,stop_loss,0,0.250000,38.353755,0.383538,38.353755,,,,,,,,,,
61,2022-03-15 11:15:00,0.719155,long,1.000000,22.064517,False,Standard (NTI+MB+IC),0.719651,4.958943,0.720234,0.721313,0.722751,2022-03-15 11:30:00,0.719624,stop_loss,0,0.250000,468.794987,4.687950,468.794987,,,,,,,,,,
62,2022-03-15 11:45:00,0.718685,long,1.000000,45.356151,False,Standard (NTI+MB+IC),0.719644,9.589644,0.719763,0.720841,0.722279,2022-03-15 12:45:00,0.718750,trailing_stop,0,1.000000,320.016179,0.651969,320.016179,PPT,0.500000,287.417705,287.417705,,,,,,
63,2022-03-15 13:15:00,0.717768,short,1.000000,39.440636,False,Standard (NTI+MB+IC),0.718768,10.000000,0.716691,0.715615,0.714179,2022-03-15 13:45:00,0.718895,stop_loss,0,0.500000,-1127.344242,-11.273442,-1127.344242,,,,,,,,,,
64,2022-03-16 00:45:00,0.722547,long,1.000000,37.353846,False,Standard (NTI+MB+IC),0.721547,10.000000,0.723631,0.724715,0.726160,2022-03-16 02:00:00,0.722598,trailing_stop,0,1.250000,291.809973,0.509524,291.809973,PPT,0.500000,266.333779,266.333779,,,,,,
65,2022-03-16 02:15:00,0.722263,long,1.000000,53.866192,False,Standard (NTI+MB+IC),0.721263,10.000000,0.723347,0.724430,0.725874,2022-03-16 02:45:00,0.722298,trailing_stop,0,0.500000,34.559723,0.345597,34.559723,,,,,,,,,,
66,2022-03-16 03:00:00,0.722304,long,1.000000,41.245551,False,Standard (NTI+MB+IC),0.721304,10.000000,0.723388,0.724471,0.725916,2022-03-16 13:15:00,0.724089,trailing_stop,0,10.250000,829.674693,17.852594,829.674693,PPT,0.500000,287.946325,586.492670,PPT,0.165000,178.770267,PPT,0.110550,119.776079
67,2022-03-16 14:30:00,0.728905,long,1.000000,31.160695,False,Standard (NTI+MB+IC),0.727905,10.000000,0.729998,0.731092,0.732550,2022-03-16 15:00:00,0.728913,trailing_stop,0,0.500000,376.700054,0.084262,376.700054,PPT,0.500000,372.486948,372.486948,,,,,,
68,2022-03-16 15:15:00,0.729115,long,1.000000,35.793478,False,Standard (NTI+MB+IC),0.728115,10.000000,0.730208,0.731302,0.732760,2022-03-16 20:45:00,0.729310,trailing_stop,0,5.500000,768.815600,1.955433,768.815600,PPT,0.500000,262.601143,563.962517,PPT,0.165000,180.455912,PPT,0.110550,120.905461
69,2022-03-16 21:15:00,0.730984,long,1.000000,33.123340,False,Standard (NTI+MB+IC),0.729984,10.000000,0.732080,0.733177,0.734639,2022-03-16 22:15:00,0.731041,trailing_stop,0,1.000000,56.984958,0.569850,56.984958,,,,,,,,,,
70,2022-03-16 23:00:00,0.731275,long,1.000000,22.947933,False,Standard (NTI+MB+IC),0.730275,10.000000,0.732372,0.733469,0.734931,2022-03-17 00:15:00,0.731287,trailing_stop,0,1.250000,12.180794,0.121808,12.180794,,,,,,,,,,
71,2022-03-17 03:45:00,0.732416,long,1.000000,32.670734,False,Standard (NTI+MB+IC),0.731416,10.000000,0.733514,0.734613,0.736078,2022-03-17 05:00:00,0.732507,trailing_stop,0,1.250000,422.654538,0.911311,422.654538,PPT,0.500000,377.088965,377.088965,,,,,,
72,2022-03-17 05:30:00,0.733410,long,1.000000,25.749031,False,Standard (NTI+MB+IC),0.732410,10.000000,0.734510,0.735610,0.737077,2022-04-21 23:15:00,0.762761,trailing_stop,0,857.750000,1030.155239,293.507332,1030.155239,PPT,0.500000,480.097886,783.234494,PPT,0.165000,181.518927,PPT,0.110550,121.617681
73,2022-04-21 23:30:00,0.734459,short,1.000000,44.707025,False,Standard (NTI+MB+IC),0.735459,10.000000,0.733357,0.732256,0.730787,2022-05-30 08:45:00,0.717420,end_of_data,0,921.250000,870.377081,170.390656,870.377081,PPT,0.500000,319.532782,623.103075,PPT,0.165000,181.778619,PPT,0.110550,121.791675
