trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
11,2014-07-29 11:15:00,0.937869,short,1.000000,39.519897,False,Standard (NTI+MB+IC),0.938369,5.000000,0.937025,0.936181,0.935056,2014-07-29 12:15:00,0.937824,trailing_stop,0,1.000000,258.029365,PPT,0.700000,244.397016,,,,,,,244.397016,0.454412,258.029365
12,2014-07-29 12:30:00,0.937970,short,1.000000,40.476948,False,Standard (NTI+MB+IC),0.938470,5.000000,0.937126,0.936282,0.935156,2014-07-29 13:00:00,0.938632,stop_loss,0,0.500000,-661.521327,,,,,,,,,,,-6.615213,-661.521327
13,2014-07-29 14:15:00,0.937967,short,1.000000,25.834417,False,Standard (NTI+MB+IC),0.938467,5.000000,0.937122,0.936278,0.935153,2014-07-29 16:15:00,0.938655,stop_loss,0,2.000000,-687.961881,,,,,,,,,,,-6.879619,-687.961881
14,2014-07-30 04:45:00,0.936822,short,1.000000,32.461573,False,Standard (NTI+MB+IC),0.937322,5.000000,0.935979,0.935135,0.934011,2014-08-28 04:30:00,0.925677,trailing_stop,0,695.750000,597.111449,PPT,0.700000,344.169598,PPT,0.099000,83.470811,PPT,0.066330,55.925443,483.565852,111.447698,597.111449
15,2014-08-28 04:45:00,0.936461,long,1.000000,28.559180,False,Standard (NTI+MB+IC),0.935961,5.000000,0.937304,0.938147,0.939271,2014-08-28 06:00:00,0.936443,trailing_stop,0,1.250000,317.016031,PPT,0.700000,237.189498,PPT,0.099000,83.438689,,,,320.628187,-0.179709,317.016031
16,2014-08-28 06:15:00,0.934817,long,1.000000,17.476472,False,Standard (NTI+MB+IC),0.934879,0.625948,0.935658,0.936500,0.937621,2014-08-28 06:30:00,0.934753,stop_loss,0,0.250000,-63.908401,,,,,,,,,,,-0.639084,-63.908401
17,2014-08-28 06:45:00,0.934743,long,1.000000,18.651701,False,Standard (NTI+MB+IC),0.934906,1.625959,0.935584,0.936426,0.937547,2014-08-28 10:00:00,0.934806,trailing_stop,0,3.250000,864.233397,PPT,0.700000,613.764849,PPT,0.099000,83.285619,PPT,0.066330,55.801364,752.851832,0.623453,864.233397
18,2014-08-29 01:15:00,0.934720,short,1.000000,40.451860,False,Standard (NTI+MB+IC),0.935220,5.000000,0.933878,0.933037,0.931915,2014-08-29 02:00:00,0.935234,stop_loss,0,0.750000,-514.043725,,,,,,,,,,,-5.140437,-514.043725
19,2014-08-29 06:15:00,0.933943,short,1.000000,38.680872,False,Standard (NTI+MB+IC),0.934443,5.000000,0.933103,0.932262,0.931142,2014-08-29 08:30:00,0.933945,trailing_stop,0,2.250000,121.012268,PPT,0.700000,121.409553,,,,,,,121.409553,-0.013243,121.012268
20,2014-08-29 09:00:00,0.934708,short,1.000000,21.304773,False,Standard (NTI+MB+IC),0.935107,3.990119,0.933866,0.933025,0.931903,2014-08-29 10:15:00,0.934752,trailing_stop,0,1.250000,590.710680,PPT,0.700000,418.289970,PPT,0.099000,83.282443,PPT,0.066330,55.799237,557.371651,-0.448466,590.710680
21,2014-09-01 15:00:00,0.933194,short,1.000000,48.902444,False,Standard (NTI+MB+IC),0.933694,5.000000,0.932491,0.931787,0.931083,2014-09-03 06:00:00,0.928452,trailing_stop,0,39.000000,389.153380,PPT,0.700000,178.026248,PPT,0.099000,69.671953,PPT,0.066330,46.680209,294.378411,47.427439,389.153380
22,2014-09-03 06:15:00,0.933100,long,1.000000,69.813433,False,Standard (NTI+MB+IC),0.932600,5.000000,0.933940,0.934780,0.935899,2014-09-03 06:45:00,0.932409,stop_loss,0,0.500000,-691.404823,,,,,,,,,,,-6.914048,-691.404823
23,2014-09-03 07:00:00,0.932383,long,1.000000,57.052193,False,Standard (NTI+MB+IC),0.931883,5.000000,0.933222,0.934062,0.935180,2014-09-08 08:45:00,0.937136,trailing_stop,0,121.750000,410.482731,PPT,0.700000,158.739259,PPT,0.099000,83.075346,PPT,0.066330,55.660482,297.475087,47.526740,410.482731
24,2014-09-08 09:00:00,0.932920,short,1.000000,72.423507,False,Standard (NTI+MB+IC),0.933420,5.000000,0.932080,0.931241,0.930121,2014-10-06 08:00:00,0.873630,end_of_data,0,671.000000,538.895921,PPT,0.700000,287.007518,PPT,0.099000,83.123173,PPT,0.066330,55.692526,425.823217,592.900107,538.895921
