trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
12,2021-02-19 00:45:00,0.778211,long,1.000000,33.930496,False,Standard (NTI+MB+IC),0.777211,10.000000,0.779378,0.780545,0.782102,2021-02-26 06:00:00,0.798160,trailing_stop,0,173.250000,898.407400,199.490201,898.407400,TP0,0.500000,314.749524,TP0,0.165000,192.607099,636.403379,TP0,0.110550,129.046756
13,2021-02-26 06:15:00,0.775968,short,1.000000,60.608364,False,Standard (NTI+MB+IC),0.776968,10.000000,0.774804,0.773640,0.772088,2021-02-26 07:30:00,0.775845,trailing_stop,0,1.250000,1740.870331,1.222496,1740.870331,TP0,0.500000,1263.851868,TP0,0.165000,192.052007,1584.578720,TP0,0.110550,128.674844
14,2021-02-26 07:45:00,0.775907,short,1.000000,56.924236,False,Standard (NTI+MB+IC),0.776907,10.000000,0.774743,0.773579,0.772028,2021-02-26 08:30:00,0.775874,trailing_stop,0,0.750000,32.728964,0.327290,32.728964,,,,,,,,,,
15,2021-02-26 08:45:00,0.778469,short,1.000000,20.466177,False,Standard (NTI+MB+IC),0.779469,10.000000,0.777301,0.776133,0.774576,2021-03-01 11:00:00,0.771885,trailing_stop,0,74.250000,963.243841,65.835104,963.243841,TP0,0.500000,379.392252,TP0,0.165000,192.671024,701.152863,TP0,0.110550,129.089586
16,2021-03-01 11:15:00,0.777649,long,1.000000,59.173489,False,Standard (NTI+MB+IC),0.776649,10.000000,0.778815,0.779982,0.781537,2021-03-01 13:00:00,0.776466,stop_loss,0,1.750000,-1182.813045,-11.828130,-1182.813045,,,,,,,,,,
17,2021-03-01 13:15:00,0.776442,long,1.000000,19.120282,False,Standard (NTI+MB+IC),0.775442,10.000000,0.777606,0.778771,0.780324,2021-03-01 20:00:00,0.776513,trailing_stop,0,6.750000,914.247955,0.717110,914.247955,TP0,0.500000,354.107233,TP0,0.165000,192.169342,675.030034,TP0,0.110550,128.753459
18,2021-03-02 06:00:00,0.779629,long,1.000000,34.361831,False,Standard (NTI+MB+IC),0.778629,10.000000,0.780798,0.781968,0.783527,2021-03-02 07:15:00,0.779652,trailing_stop,0,1.250000,307.179462,0.231108,307.179462,TP0,0.500000,295.624060,,,,295.624060,,,
19,2021-03-02 07:30:00,0.779792,long,1.000000,51.376398,False,Standard (NTI+MB+IC),0.778792,10.000000,0.780961,0.782131,0.783691,2021-03-02 08:15:00,0.779882,trailing_stop,0,0.750000,89.911497,0.899115,89.911497,,,,,,,,,,
20,2021-03-02 08:30:00,0.778891,long,1.000000,49.110141,False,Standard (NTI+MB+IC),0.777891,10.000000,0.780060,0.781228,0.782786,2021-03-03 08:30:00,0.781116,trailing_stop,0,24.000000,1538.532893,22.243612,1538.532893,TP0,0.500000,954.364440,TP0,0.165000,192.775590,1276.299674,TP0,0.110550,129.159645
21,2021-03-03 08:45:00,0.779017,short,1.000000,56.054885,False,Standard (NTI+MB+IC),0.780017,10.000000,0.777848,0.776680,0.775122,2021-03-03 11:00:00,0.778956,trailing_stop,0,2.250000,819.020498,0.606377,819.020498,TP0,0.500000,268.330930,TP0,0.165000,192.806624,590.317991,TP0,0.110550,129.180438
22,2021-03-03 11:15:00,0.780900,short,1.000000,24.214257,False,Standard (NTI+MB+IC),0.781502,6.021437,0.779728,0.778557,0.776995,2021-03-04 00:45:00,0.777709,trailing_stop,0,13.500000,785.488376,31.910590,785.488376,TP0,0.500000,199.813640,TP0,0.165000,193.272658,522.578979,TP0,0.110550,129.492681
23,2021-03-04 05:30:00,0.777353,short,1.000000,49.408113,False,Standard (NTI+MB+IC),0.778353,10.000000,0.776187,0.775021,0.773466,2021-03-04 06:30:00,0.777281,trailing_stop,0,1.000000,71.857318,0.718573,71.857318,,,,,,,,,,
24,2021-03-04 13:15:00,0.773904,short,1.000000,46.165054,False,Standard (NTI+MB+IC),0.774904,10.000000,0.772744,0.771583,0.770035,2021-03-10 09:15:00,0.764996,trailing_stop,0,140.000000,1177.670979,89.081199,1177.670979,TP0,0.500000,597.242615,TP0,0.165000,191.541360,917.116687,TP0,0.110550,128.332711
25,2021-03-10 09:30:00,0.773564,long,1.000000,48.875774,False,Standard (NTI+MB+IC),0.772564,10.000000,0.774725,0.775885,0.777432,2021-03-10 10:00:00,0.772560,stop_loss,0,0.500000,-1004.524599,-10.045246,-1004.524599,,,,,,,,,,
26,2021-03-10 14:45:00,0.773514,long,1.000000,42.170821,False,Standard (NTI+MB+IC),0.772514,10.000000,0.774674,0.775834,0.777381,2021-03-10 16:30:00,0.773567,trailing_stop,0,1.750000,53.710116,0.537101,53.710116,,,,,,,,,,
27,2021-03-10 18:45:00,0.773001,long,1.000000,34.377247,False,Standard (NTI+MB+IC),0.772001,10.000000,0.774160,0.775320,0.776866,2021-03-10 19:15:00,0.773055,trailing_stop,0,0.500000,506.788227,0.545049,506.788227,TP0,0.500000,479.535755,,,,479.535755,,,
28,2021-03-10 20:45:00,0.773455,long,1.000000,25.843673,False,Standard (NTI+MB+IC),0.772455,10.000000,0.774615,0.775775,0.777322,2021-03-12 04:45:00,0.777360,trailing_stop,0,32.000000,977.758641,39.052623,977.758641,TP0,0.500000,397.667643,TP0,0.165000,191.430030,717.355792,TP0,0.110550,128.258120
29,2021-03-12 05:00:00,0.774375,short,1.000000,52.638379,False,Standard (NTI+MB+IC),0.775375,10.000000,0.773214,0.772052,0.770504,2021-03-12 07:15:00,0.774363,trailing_stop,0,2.250000,900.504010,0.120271,900.504010,TP0,0.500000,577.735787,TP0,0.165000,191.657929,897.804529,TP0,0.110550,128.410813
30,2021-03-12 07:30:00,0.774607,short,1.000000,33.829854,False,Standard (NTI+MB+IC),0.775607,10.000000,0.773445,0.772283,0.770734,2021-03-12 09:45:00,0.774516,trailing_stop,0,2.250000,733.515827,0.914445,733.515827,TP0,0.500000,313.538822,TP0,0.165000,191.715252,633.703293,TP0,0.110550,128.449219
31,2021-03-15 01:00:00,0.772805,short,1.000000,49.464186,False,Standard (NTI+MB+IC),0.773805,10.000000,0.771646,0.770487,0.768941,2021-03-15 03:00:00,0.773936,stop_loss,0,2.000000,-1130.428220,-11.304282,-1130.428220,,,,,,,,,,
