trade_id,entry_time,entry_price,direction,initial_size,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,tp1_distance_pips,tp2_distance_pips,tp3_distance_pips,exit_time,final_exit_price,exit_reason,trade_duration_hours,tp_hits,total_exited,total_exited_millions,position_integrity_ok,partial_pnl_total,final_pnl,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_price,partial_exit_1_pips,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_price,partial_exit_2_pips,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_price,partial_exit_3_pips,partial_exit_3_pnl
61,2013-09-10 02:30:00,0.925816,long,1000000.000000,1.000000,56.358876,False,Standard (NTI+MB+IC),0.925316,5.000000,0.926650,0.927483,0.928594,8.332348,16.664697,27.774495,2013-09-10 02:45:00,0.925286,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,-530.076846,-530.076846,stop_loss,1.000000,0.925286,-5.300768,-530.076846,,,,,,,,,,
62,2013-09-10 03:00:00,0.925071,long,1000000.000000,1.000000,24.125742,False,Standard (NTI+MB+IC),0.924571,5.000000,0.925904,0.926737,0.927847,8.325643,16.651286,27.752143,2013-09-10 03:30:00,0.924560,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-511.190299,-511.190299,stop_loss,1.000000,0.924560,-5.111903,-511.190299,,,,,,,,,,
63,2013-09-10 03:45:00,0.924463,long,1000000.000000,1.000000,21.577581,False,Standard (NTI+MB+IC),0.924279,1.836616,0.925295,0.926127,0.927236,8.320167,16.640333,27.733888,2013-09-10 05:45:00,0.927236,take_profit_3,2.000000,3,1000000.000000,1.000000,True,1063.894369,1063.894369,1063.894369,PARTIAL,0.700000,0.925230,7.670523,536.936622,TP1,0.099990,0.925295,8.320167,83.193345,TP2,0.100005,0.926127,16.640333,166.411651
64,2013-09-10 06:00:00,0.927741,long,1000000.000000,1.000000,33.094379,False,Standard (NTI+MB+IC),0.927241,5.000000,0.928576,0.929411,0.930524,8.349671,16.699343,27.832238,2013-09-10 09:45:00,0.930524,take_profit_3,3.750000,3,1000000.000000,1.000000,True,667.934106,667.934106,667.934106,PARTIAL,0.700000,0.927940,1.987252,139.107664,TP1,0.099990,0.928576,8.349671,83.488365,TP2,0.100005,0.929411,16.699343,167.001779
65,2013-09-10 10:00:00,0.930805,long,1000000.000000,1.000000,56.910751,False,Standard (NTI+MB+IC),0.930305,5.000000,0.931643,0.932481,0.933598,8.377249,16.754498,27.924164,2013-09-10 10:45:00,0.930772,trailing_stop,0.750000,0,1000000.000000,1.000000,True,290.171850,280.202905,280.202905,PARTIAL,0.700000,0.931220,4.145312,290.171850,trailing_stop,0.300000,0.930772,-0.332298,-9.968945,,,,,
66,2013-09-10 11:00:00,0.929227,long,1000000.000000,1.000000,25.517130,False,Standard (NTI+MB+IC),0.928727,5.000000,0.930063,0.930899,0.932014,8.363039,16.726078,27.876797,2013-09-10 11:30:00,0.929265,trailing_stop,0.500000,0,1000000.000000,1.000000,True,366.394265,377.988900,377.988900,PARTIAL,0.700000,0.929750,5.234204,366.394265,trailing_stop,0.300000,0.929265,0.386488,11.594635,,,,,
67,2013-09-10 11:45:00,0.928804,long,1000000.000000,1.000000,19.973021,False,Standard (NTI+MB+IC),0.928304,5.000000,0.929640,0.930476,0.931590,8.359233,16.718466,27.864110,2013-09-10 16:15:00,0.931590,take_profit_3,4.500000,3,1000000.000000,1.000000,True,1058.865404,1058.865404,1058.865404,PARTIAL,0.700000,0.929560,7.563334,529.433382,TP1,0.099990,0.929640,8.359233,83.583971,TP2,0.100005,0.930476,16.718466,167.193019
68,2013-09-10 16:30:00,0.931275,long,1000000.000000,1.000000,44.680875,False,Standard (NTI+MB+IC),0.930775,5.000000,0.932113,0.932951,0.934068,8.381471,16.762943,27.938238,2013-09-10 18:15:00,0.930758,stop_loss,1.750000,0,1000000.000000,1.000000,True,0.000000,-517.003375,-517.003375,stop_loss,1.000000,0.930758,-5.170034,-517.003375,,,,,,,,,,
69,2013-09-10 22:00:00,0.928891,long,1000000.000000,1.000000,21.234204,False,Standard (NTI+MB+IC),0.929543,6.520353,0.929727,0.930563,0.931677,8.360016,16.720032,27.866719,2013-09-10 22:15:00,0.929452,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,560.878542,560.878542,stop_loss,1.000000,0.929452,5.608785,560.878542,,,,,,,,,,
70,2013-09-10 22:45:00,0.929662,short,1000000.000000,1.000000,44.044073,False,Standard (NTI+MB+IC),0.930162,5.000000,0.928825,0.927989,0.926873,8.366957,16.733914,27.889857,2013-09-11 01:15:00,0.928825,tp1_pullback,2.500000,2,1000000.000000,1.000000,True,413.333979,497.007733,497.007733,PARTIAL,0.700000,0.929430,2.318932,162.325267,TP1,0.099990,0.928825,8.366957,83.661203,TP2,0.100005,0.927989,16.733914,167.347508
