trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total
11,2023-06-22 05:30:00,0.679098,long,1.000000,44.482348,False,Standard (NTI+MB+IC),0.678598,5.000000,0.679709,0.680321,0.681136,2023-06-22 09:00:00,0.678518,stop_loss,0,3.500000,192.150490,-5.800728,192.150490,PPT,0.700000,169.221108,PPT,0.099000,60.507655,PPT,0.066330,40.540129,270.268891
12,2023-06-22 09:15:00,0.676608,long,1.000000,51.142768,False,Standard (NTI+MB+IC),0.678003,13.951797,0.677217,0.677826,0.678638,2023-06-22 09:30:00,0.677950,stop_loss,0,0.250000,1342.458224,13.424582,1342.458224,,,,,,,,,,
13,2023-06-22 09:45:00,0.676948,short,1.000000,51.181958,False,Standard (NTI+MB+IC),0.677448,5.000000,0.676339,0.675730,0.674918,2023-07-12 11:00:00,0.662204,trailing_stop,0,481.250000,720.659907,147.442238,720.659907,PPT,0.700000,537.883838,PPT,0.099000,60.316103,PPT,0.066330,40.411789,638.611730
14,2023-07-12 11:15:00,0.678833,long,1.000000,56.320274,False,Standard (NTI+MB+IC),0.678333,5.000000,0.679444,0.680055,0.680870,2023-07-12 11:30:00,0.678163,stop_loss,0,0.250000,-669.564773,-6.695648,-669.564773,,,,,,,,,,
15,2023-07-12 11:45:00,0.678153,long,1.000000,59.621887,False,Standard (NTI+MB+IC),0.677653,5.000000,0.678764,0.679374,0.680188,2023-07-18 23:45:00,0.686984,trailing_stop,0,156.000000,607.734710,88.301439,607.734710,PPT,0.700000,424.633297,PPT,0.099000,60.423466,PPT,0.066330,40.483722,525.540486
16,2023-07-19 00:00:00,0.677956,short,1.000000,53.347026,False,Standard (NTI+MB+IC),0.678456,5.000000,0.677346,0.676736,0.675922,2023-07-19 00:30:00,0.678571,stop_loss,0,0.500000,-614.756097,-6.147561,-614.756097,,,,,,,,,,
17,2023-07-19 02:45:00,0.678895,short,1.000000,34.965648,False,Standard (NTI+MB+IC),0.679395,5.000000,0.678284,0.677673,0.676858,2023-07-19 21:00:00,0.678215,trailing_stop,0,18.250000,557.609077,6.794391,557.609077,PPT,0.700000,374.307499,PPT,0.099000,60.489520,PPT,0.066330,40.527978,475.324997
18,2023-07-19 21:30:00,0.682715,long,1.000000,48.821839,False,Standard (NTI+MB+IC),0.682215,5.000000,0.683329,0.683944,0.684763,2023-07-19 22:30:00,0.682116,stop_loss,0,1.000000,155.084325,-5.992825,155.084325,PPT,0.330000,202.766305,PPT,0.469000,72.773797,,,,275.540102
19,2023-07-19 22:45:00,0.683818,long,1.000000,65.319444,False,Standard (NTI+MB+IC),0.683318,5.000000,0.684433,0.685049,0.685869,2023-07-19 23:00:00,0.683184,stop_loss,0,0.250000,-634.144602,-6.341446,-634.144602,,,,,,,,,,
20,2023-07-19 23:15:00,0.682851,long,1.000000,67.596748,False,Standard (NTI+MB+IC),0.682351,5.000000,0.683466,0.684081,0.684900,2023-07-20 02:00:00,0.682174,stop_loss,0,2.750000,191.374665,-6.775747,191.374665,PPT,0.700000,181.017406,PPT,0.099000,60.842060,PPT,0.066330,40.764180,282.623646
21,2023-07-20 02:15:00,0.681789,long,1.000000,21.313465,False,Standard (NTI+MB+IC),0.681289,5.000000,0.682403,0.683016,0.683835,2023-07-20 02:30:00,0.681197,stop_loss,0,0.250000,-592.476070,-5.924761,-592.476070,,,,,,,,,,
22,2023-07-20 11:00:00,0.678552,long,1.000000,19.891981,False,Standard (NTI+MB+IC),0.681079,25.276998,0.679162,0.679773,0.680587,2023-07-20 11:15:00,0.680891,stop_loss,0,0.250000,2339.496449,23.394964,2339.496449,,,,,,,,,,
23,2023-07-20 11:45:00,0.677655,short,1.000000,51.864408,False,Standard (NTI+MB+IC),0.678155,5.000000,0.677045,0.676435,0.675622,2023-07-20 13:30:00,0.678307,stop_loss,0,1.750000,-651.529067,-6.515291,-651.529067,,,,,,,,,,
24,2023-07-20 13:45:00,0.678261,short,1.000000,50.048108,False,Standard (NTI+MB+IC),0.678761,5.000000,0.677650,0.677040,0.676226,2023-07-21 02:30:00,0.678246,trailing_stop,0,12.750000,323.691464,0.147851,323.691464,PPT,0.700000,140.561265,PPT,0.099000,60.433037,PPT,0.066330,40.490135,241.484438
25,2023-07-21 04:00:00,0.675002,short,1.000000,32.383820,False,Standard (NTI+MB+IC),0.675502,5.000000,0.674395,0.673787,0.672977,2023-07-24 06:45:00,0.674283,trailing_stop,0,74.750000,330.769303,7.192490,330.769303,PPT,0.700000,148.518717,PPT,0.099000,60.142693,PPT,0.066330,40.295605,248.957015
26,2023-07-24 23:00:00,0.676373,long,1.000000,48.563658,False,Standard (NTI+MB+IC),0.675873,5.000000,0.676982,0.677591,0.678402,2023-07-25 00:45:00,0.675873,stop_loss,0,1.750000,1.666814,-5.004404,1.666814,PPT,0.700000,151.798948,,,,,,,151.798948
27,2023-07-25 01:45:00,0.676832,long,1.000000,40.774030,False,Standard (NTI+MB+IC),0.676332,5.000000,0.677441,0.678050,0.678862,2023-07-25 05:30:00,0.676838,trailing_stop,0,3.750000,571.001259,0.063047,571.001259,PPT,0.700000,404.616315,PPT,0.099000,60.305729,PPT,0.066330,40.404839,505.326883
28,2023-07-25 21:30:00,0.674267,long,1.000000,20.735543,False,Standard (NTI+MB+IC),0.677039,27.720737,0.674874,0.675481,0.676290,2023-07-26 09:00:00,0.674890,trailing_stop,0,11.500000,753.282920,6.225719,753.282920,PPT,0.330000,200.257336,PPT,0.221100,134.172415,PPT,0.314230,337.129970,671.559720
29,2023-07-26 09:15:00,0.673343,short,1.000000,41.909564,False,Standard (NTI+MB+IC),0.673843,5.000000,0.672737,0.672131,0.671323,2023-07-26 09:30:00,0.673920,stop_loss,0,0.250000,-577.072241,-5.770722,-577.072241,,,,,,,,,,
30,2023-07-26 21:15:00,0.677812,long,1.000000,33.471647,False,Standard (NTI+MB+IC),0.677312,5.000000,0.678422,0.679032,0.679846,2023-07-27 11:00:00,0.680399,trailing_stop,0,13.750000,559.393802,25.869954,559.393802,PPT,0.700000,376.384449,PPT,0.099000,60.393077,PPT,0.066330,40.463361,477.240887
31,2023-07-27 11:30:00,0.673383,short,1.000000,58.608070,False,Standard (NTI+MB+IC),0.673883,5.000000,0.672777,0.672171,0.671363,2023-07-27 11:45:00,0.674025,stop_loss,0,0.250000,-642.299240,-6.422992,-642.299240,,,,,,,,,,
32,2023-07-27 12:00:00,0.673569,short,1.000000,61.812876,False,Standard (NTI+MB+IC),0.674069,5.000000,0.672963,0.672356,0.671548,2023-07-31 11:00:00,0.665119,trailing_stop,0,95.000000,2393.104647,84.501029,2393.104647,PPT,0.700000,2211.241040,PPT,0.099000,60.014990,PPT,0.066330,40.210044,2311.466074
33,2023-07-31 11:15:00,0.673403,long,1.000000,61.614259,False,Standard (NTI+MB+IC),0.672903,5.000000,0.674009,0.674615,0.675423,2023-07-31 11:45:00,0.672807,stop_loss,0,0.500000,-595.652751,-5.956528,-595.652751,,,,,,,,,,
34,2023-07-31 12:00:00,0.673068,long,1.000000,58.402418,False,Standard (NTI+MB+IC),0.672568,5.000000,0.673673,0.674279,0.675087,2023-07-31 12:45:00,0.672511,stop_loss,0,0.750000,-557.022754,-5.570228,-557.022754,,,,,,,,,,
35,2023-07-31 13:00:00,0.672491,long,1.000000,19.931587,False,Standard (NTI+MB+IC),0.671991,5.000000,0.673096,0.673701,0.674508,2023-07-31 14:45:00,0.671904,stop_loss,0,1.750000,89.521749,-5.866113,89.521749,PPT,0.700000,265.505137,,,,,,,265.505137
36,2023-07-31 17:00:00,0.671065,long,1.000000,18.524280,False,Standard (NTI+MB+IC),0.670883,1.812131,0.671669,0.672273,0.673078,2023-07-31 21:30:00,0.671075,trailing_stop,0,4.500000,275.677093,0.102334,275.677093,PPT,0.700000,94.783352,PPT,0.099000,59.791855,PPT,0.066330,40.060543,194.635751
37,2023-07-31 22:30:00,0.669489,short,1.000000,39.770048,False,Standard (NTI+MB+IC),0.669989,5.000000,0.668887,0.668284,0.667481,2023-08-01 00:15:00,0.670087,stop_loss,0,1.750000,36.960458,-5.980813,36.960458,PPT,0.700000,216.384842,,,,,,,216.384842
38,2023-08-01 00:30:00,0.666760,short,1.000000,52.173072,False,Standard (NTI+MB+IC),0.667260,5.000000,0.666160,0.665560,0.664760,2023-08-01 00:45:00,0.667345,stop_loss,0,0.250000,-585.380304,-5.853803,-585.380304,,,,,,,,,,
39,2023-08-01 01:00:00,0.666694,short,1.000000,52.791330,False,Standard (NTI+MB+IC),0.667194,5.000000,0.666094,0.665494,0.664694,2023-08-01 01:15:00,0.667250,stop_loss,0,0.250000,-556.590454,-5.565905,-556.590454,,,,,,,,,,
40,2023-08-01 01:30:00,0.667580,short,1.000000,51.862753,False,Standard (NTI+MB+IC),0.668080,5.000000,0.666979,0.666379,0.665578,2023-08-01 03:30:00,0.664630,end_of_data,0,2.000000,1004.401026,29.503048,1004.401026,PPT,0.330000,198.271351,PPT,0.469000,656.742931,PPT,0.066330,39.852541,894.866823
