iteration,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,avg_trade,avg_win,avg_loss,best_trade,worst_trade,recovery_factor,win_loss_ratio,expectancy,sqn,trades_per_day,start_date,end_date,timestamp,config,currency
45,-10.099753,507,25.838264,0.513533,-8.775670,-11.328514,10.448589,-199.206171,813.868979,-552.165864,2338.316072,-699.569851,0.966614,1.473957,-199.206171,-6.525207,4.296610,2021-05-07 04:00:00,2021-09-02 07:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
46,-4.842715,681,37.738620,0.804068,-3.175523,-5.251278,6.872551,-71.111827,773.289142,-582.930339,9062.168331,-1804.566004,0.704646,1.326555,-71.111827,-2.304277,5.628099,2022-11-07 07:00:00,2023-03-08 10:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
47,-10.626660,662,29.607251,0.597058,-8.380449,-10.180019,10.828842,-160.523566,803.368191,-565.937266,2192.759543,-699.739752,0.981329,1.419536,-160.523566,-5.814356,5.610169,2018-11-30 02:30:00,2019-03-28 23:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
48,-5.600292,408,32.352941,0.636783,-5.759516,-8.636869,5.656986,-137.262060,743.809840,-558.644273,2116.691960,-699.068330,0.989978,1.331455,-137.262060,-3.933203,3.487179,2024-02-09 10:00:00,2024-06-05 18:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
49,-9.429387,477,28.301887,0.512520,-9.556178,-11.438359,9.446387,-197.681060,734.350268,-565.588164,2116.718676,-827.487105,0.998200,1.298383,-197.681060,-6.400718,4.008403,2023-11-22 06:15:00,2024-03-20 06:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
50,-0.925702,889,41.507312,0.969562,-0.544028,-0.862520,5.440167,-10.412842,799.104109,-584.858525,2013.336659,-1784.960133,0.170161,1.366320,-10.412842,-0.404071,7.730435,2022-08-08 13:30:00,2022-12-01 21:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
51,-7.178025,410,28.048780,0.578859,-7.106169,-9.484129,7.698038,-175.073789,857.931365,-577.770713,2157.373613,-1706.184002,0.932449,1.484899,-175.073789,-4.818772,3.504274,2024-04-26 08:30:00,2024-08-21 16:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
52,-6.337193,597,33.165829,0.718364,-5.287500,-8.314350,6.954070,-106.150634,816.372197,-563.943919,2329.652344,-698.799743,0.911293,1.447612,-106.150634,-3.501762,5.191304,2018-06-25 05:45:00,2018-10-18 13:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
53,-8.211319,506,31.027668,0.583567,-8.372685,-10.198688,8.814596,-162.279033,732.924389,-564.992320,2100.184500,-836.026279,0.931559,1.297229,-162.279033,-5.312242,4.252101,2023-10-02 00:45:00,2024-01-29 01:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
54,-7.858500,687,32.314410,0.700867,-6.666974,-9.319912,8.305369,-114.388649,829.387051,-564.965434,2259.446823,-699.299056,0.946195,1.468031,-114.388649,-4.072658,5.773109,2020-10-19 09:30:00,2021-02-16 03:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
55,-7.333449,517,33.462282,0.628031,-7.600323,-10.358902,7.485170,-141.846206,715.708559,-573.116481,2089.498621,-699.196090,0.979730,1.248801,-141.846206,-4.655784,4.344538,2023-09-07 17:30:00,2024-01-04 18:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
56,-10.566367,510,25.686275,0.495364,-8.680966,-11.808758,10.847637,-207.183663,791.771367,-552.468912,2338.310342,-699.990013,0.974071,1.433151,-207.183663,-6.968300,4.322034,2021-04-15 03:30:00,2021-08-11 07:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
57,-2.302886,833,38.175270,0.922964,-1.048277,-2.151355,7.422119,-27.645685,867.636751,-580.460859,3340.192246,-697.298583,0.310273,1.494738,-27.645685,-0.996002,7.119658,2020-02-20 20:45:00,2020-06-17 05:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
58,-0.752360,755,43.046358,0.970102,-0.640411,-0.875575,3.567053,-9.965027,751.123104,-585.206057,2047.165365,-1783.669717,0.210919,1.283519,-9.965027,-0.364762,6.452991,2022-09-29 13:30:00,2023-01-25 00:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
59,-7.366128,468,29.487179,0.605624,-7.390797,-10.074175,7.415639,-157.395898,819.695038,-565.997561,2188.217399,-1687.549855,0.993323,1.448231,-157.395898,-4.730779,4.069565,2024-06-17 01:15:00,2024-10-10 09:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
60,-5.881340,605,34.545455,0.744876,-4.479379,-6.585001,6.503711,-97.212227,821.602639,-582.142295,2238.372566,-699.967079,0.904305,1.411343,-97.212227,-3.265972,5.170940,2022-02-18 08:00:00,2022-06-15 16:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
61,-7.685496,531,30.131827,0.631837,-6.078221,-9.040287,8.055023,-144.736274,824.359464,-562.675137,2312.961466,-699.374597,0.954125,1.465072,-144.736274,-4.616922,4.617391,2021-01-25 23:00:00,2021-05-21 07:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
62,-7.342358,605,31.239669,0.689940,-5.599370,-8.066963,8.310211,-121.361282,864.448999,-569.241434,2312.929932,-699.956623,0.883534,1.518598,-121.361282,-3.977588,5.127119,2020-12-14 00:45:00,2021-04-12 00:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
63,-5.626676,640,35.468750,0.769326,-3.701253,-5.403833,6.475168,-87.916812,826.680426,-590.613114,9037.065964,-2737.618839,0.868962,1.399699,-87.916812,-2.581175,4.848485,2022-11-28 18:45:00,2023-04-10 06:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
64,-7.015085,650,33.230769,0.711201,-5.617391,-8.135279,7.256225,-107.924382,799.790717,-559.690423,3552.797620,-698.880645,0.966768,1.428988,-107.924382,-3.731377,5.555556,2018-08-15 04:00:00,2018-12-10 11:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
65,-4.588987,737,39.484396,0.824399,-3.502995,-4.910682,5.341479,-62.265770,740.346296,-585.943149,2116.966062,-698.813049,0.859123,1.263512,-62.265770,-2.370237,6.299145,2022-04-20 18:15:00,2022-08-16 02:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
66,-7.215007,584,33.561644,0.672713,-5.987178,-8.231034,7.771080,-123.544647,756.626628,-568.167250,2184.843038,-3335.114079,0.928443,1.331697,-123.544647,-4.185049,4.949153,2019-10-24 19:00:00,2020-02-20 17:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
67,-6.263073,499,32.064128,0.676357,-5.851840,-7.393681,6.905716,-125.512495,818.043946,-570.848868,2192.769526,-699.853914,0.906940,1.433031,-125.512495,-3.784237,4.264957,2019-03-06 07:30:00,2019-07-02 04:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
68,-6.970773,696,33.908046,0.736517,-5.900038,-8.316464,7.503376,-100.154790,825.655315,-575.135626,2259.492486,-699.531666,0.929018,1.435584,-100.154790,-3.544900,5.848739,2020-10-13 15:00:00,2021-02-10 08:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
69,-10.328248,587,29.982964,0.563043,-9.281848,-11.917805,11.557517,-175.949713,756.166417,-575.104065,2188.232555,-4762.146588,0.893639,1.314834,-175.949713,-6.036720,4.932773,2024-09-12 18:00:00,2025-01-09 21:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
70,-5.865074,619,32.794830,0.763280,-3.471052,-5.229179,7.000607,-94.750792,931.595187,-595.587893,9056.068011,-2724.124544,0.837795,1.564161,-94.750792,-2.604438,3.967949,2023-01-30 09:15:00,2023-07-06 07:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
71,-9.269586,521,29.942418,0.542423,-9.175867,-10.844080,9.336015,-177.919125,704.383997,-555.013062,2100.174453,-822.137222,0.992885,1.269130,-177.919125,-6.135518,4.378151,2023-10-20 05:15:00,2024-02-16 06:15:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
72,-7.702610,573,31.239092,0.659901,-6.314102,-9.335058,9.050716,-134.426000,834.943970,-574.825048,2312.930612,-698.579456,0.851050,1.452518,-134.426000,-4.356718,4.855932,2020-12-22 05:45:00,2021-04-20 05:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
73,-6.173846,481,31.185031,0.663268,-5.827119,-7.214741,6.446861,-128.354396,810.716970,-553.915438,2163.996509,-699.589529,0.957652,1.463611,-128.354396,-3.934858,4.182609,2019-03-18 09:00:00,2019-07-12 06:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
74,-8.087894,508,31.102362,0.582567,-8.202596,-11.809841,8.087894,-159.210506,714.392191,-553.579723,2089.508844,-697.848150,1.000000,1.290496,-159.210506,-5.350304,4.305085,2023-08-30 18:15:00,2023-12-26 19:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
75,-4.238921,660,37.878788,0.822005,-2.735668,-4.551568,6.292537,-64.226071,783.034982,-580.848664,9038.126569,-1810.903693,0.673643,1.348088,-64.226071,-2.030022,5.454545,2022-11-08 15:15:00,2023-03-10 08:00:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
76,-9.039743,625,30.080000,0.644262,-5.602362,-7.693667,9.244456,-144.635891,870.825239,-581.493311,3842.427582,-2387.507029,0.977856,1.497567,-144.635891,-4.667752,4.058442,2023-03-27 16:45:00,2023-08-28 20:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
77,-6.093478,645,35.503876,0.743370,-4.584803,-6.974582,8.700630,-94.472524,770.774727,-570.774497,2187.098101,-3368.608903,0.700349,1.350401,-94.472524,-3.272863,5.608696,2019-09-02 11:00:00,2019-12-27 09:30:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
78,-1.669063,880,41.704545,0.944264,-0.710822,-1.031493,5.956259,-18.966624,770.492455,-583.745342,1990.918876,-1793.010408,0.280220,1.319912,-18.966624,-0.745527,7.521368,2022-08-02 18:45:00,2022-11-28 02:45:00,20250618_163629,Config 2: Scalping Strategy,GBPUSD
