trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
269,2011-07-01 02:45:00,1.072630,long,1.000000,45.430427,False,Standard (NTI+MB+IC),1.072130,5.000000,1.073595,1.074561,1.075848,2011-07-01 03:15:00,1.072018,stop_loss,0,0.500000,-611.613644,-6.116136,-611.613644,,,,,,,,,,
270,2011-07-01 11:15:00,1.074910,long,1.000000,37.633706,False,Standard (NTI+MB+IC),1.074410,5.000000,1.075878,1.076845,1.078135,2011-07-01 13:00:00,1.075878,take_profit_1,1,1.750000,422.996830,9.674193,422.996830,PPT,0.700000,132.771042,TP1,0.300000,290.225788,422.996830,,,
271,2011-07-01 13:15:00,1.076421,long,1.000000,52.057783,False,Standard (NTI+MB+IC),1.075921,5.000000,1.077390,1.078358,1.079650,2011-07-01 13:30:00,1.077390,take_profit_1,1,0.250000,1116.000214,9.687788,1116.000214,PPT,0.700000,825.366570,TP1,0.300000,290.633644,1116.000214,,,
272,2011-07-01 13:45:00,1.077414,long,1.000000,58.436402,False,Standard (NTI+MB+IC),1.076914,5.000000,1.078383,1.079353,1.080646,2011-07-01 14:45:00,1.078383,take_profit_1,1,1.000000,1261.379621,9.696722,1261.379621,PPT,0.700000,970.477948,TP1,0.300000,290.901673,1261.379621,,,
273,2011-07-01 15:00:00,1.078340,long,1.000000,64.834578,False,Standard (NTI+MB+IC),1.077840,5.000000,1.079310,1.080281,1.081575,2011-07-01 16:30:00,1.077794,stop_loss,0,1.500000,-545.358722,-5.453587,-545.358722,,,,,,,,,,
274,2011-07-03 17:15:00,1.077719,long,1.000000,35.412869,False,Standard (NTI+MB+IC),1.077219,5.000000,1.078689,1.079659,1.080952,2011-07-03 17:45:00,1.077213,stop_loss,0,0.500000,-25.466421,-5.065130,-25.466421,PPT,0.700000,126.487487,,,,126.487487,,,
275,2011-07-03 21:30:00,1.072520,long,1.000000,19.118130,False,Standard (NTI+MB+IC),1.075333,28.124151,1.073486,1.074451,1.075738,2011-07-03 21:45:00,1.073486,take_profit_1,1,0.250000,1045.378323,9.652683,1045.378323,PPT,0.700000,755.797845,TP1,0.300000,289.580478,1045.378323,,,
276,2011-07-03 22:00:00,1.073418,long,1.000000,48.142627,False,Standard (NTI+MB+IC),1.075305,18.874030,1.074384,1.075350,1.076638,2011-07-03 22:15:00,1.075231,stop_loss,0,0.250000,1813.674736,18.136747,1813.674736,,,,,,,,,,
277,2011-07-03 22:30:00,1.074166,short,1.000000,51.436174,False,Standard (NTI+MB+IC),1.074666,5.000000,1.073200,1.072233,1.070944,2011-07-03 23:45:00,1.074838,stop_loss,0,1.250000,-671.783732,-6.717837,-671.783732,,,,,,,,,,
278,2011-07-04 00:15:00,1.073876,short,1.000000,31.584132,False,Standard (NTI+MB+IC),1.074376,5.000000,1.072910,1.071943,1.070654,2011-07-04 01:00:00,1.072910,take_profit_1,1,0.750000,1253.142071,9.664884,1253.142071,PPT,0.700000,963.195553,TP1,0.300000,289.946518,1253.142071,,,
