trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
101,2012-10-30 10:45:00,1.036715,long,1.000000,15.581659,False,Standard (NTI+MB+IC),1.036215,5.000000,1.037648,1.038581,1.039825,2012-10-30 12:00:00,1.036698,trailing_stop,1,1.250000,687.306274,PPT,0.700000,549.826118,TP1,0.150000,139.956462,687.306274,-0.165087,687.306274,PPT,0.150000,-2.476306
102,2012-10-30 21:30:00,1.038602,long,1.000000,43.637542,False,Standard (NTI+MB+IC),1.038102,5.000000,1.039537,1.040471,1.041718,2012-10-30 23:00:00,1.038009,stop_loss,0,1.500000,-593.058511,PPT,1.000000,-593.058511,,,,-593.058511,-5.930585,-593.058511,,,
103,2012-10-30 23:15:00,1.037504,long,1.000000,17.237235,False,Standard (NTI+MB+IC),1.037004,5.000000,1.038438,1.039372,1.040617,2012-10-31 07:45:00,1.038438,tp1_pullback,2,8.500000,522.051658,PPT,0.700000,171.893911,TP1,0.150000,140.063099,452.020109,9.337540,522.051658,TP2,0.075000,140.063099
104,2012-10-31 09:15:00,1.036514,long,1.000000,47.173148,False,Standard (NTI+MB+IC),1.037778,12.638211,1.037447,1.038380,1.039623,2012-10-31 09:30:00,1.037588,stop_loss,0,0.250000,1074.353697,PPT,1.000000,1074.353697,,,,1074.353697,10.743537,1074.353697,,,
105,2012-10-31 09:45:00,1.036982,short,1.000000,51.407981,False,Standard (NTI+MB+IC),1.037482,5.000000,1.036049,1.035116,1.033871,2012-10-31 12:00:00,1.036957,trailing_stop,1,2.250000,516.380354,PPT,0.700000,372.557570,TP1,0.150000,139.992600,516.380354,0.255346,516.380354,PPT,0.150000,3.830183
106,2012-10-31 12:15:00,1.036365,short,1.000000,40.763125,False,Standard (NTI+MB+IC),1.036865,5.000000,1.035432,1.034499,1.033256,2012-10-31 12:30:00,1.036865,stop_loss,0,0.250000,-500.194355,PPT,1.000000,-500.194355,,,,-500.194355,-5.001944,-500.194355,,,
107,2012-10-31 13:00:00,1.037281,short,1.000000,17.404729,False,Standard (NTI+MB+IC),1.037781,5.000000,1.036347,1.035413,1.034169,2012-10-31 13:30:00,1.037914,stop_loss,0,0.500000,-633.414083,PPT,1.000000,-633.414083,,,,-633.414083,-6.334141,-633.414083,,,
108,2012-10-31 13:45:00,1.037911,short,1.000000,18.132322,False,Standard (NTI+MB+IC),1.038411,5.000000,1.036977,1.036043,1.034798,2012-10-31 14:00:00,1.038507,stop_loss,0,0.250000,-595.763893,PPT,1.000000,-595.763893,,,,-595.763893,-5.957639,-595.763893,,,
109,2012-10-31 14:15:00,1.038283,short,1.000000,41.939159,False,Standard (NTI+MB+IC),1.038783,5.000000,1.037348,1.036414,1.035168,2012-10-31 14:30:00,1.037613,signal_flip,0,0.250000,664.953563,PPT,0.700000,463.892664,PPT,0.300000,201.060898,664.953563,6.702030,664.953563,,,
110,2012-11-01 11:45:00,1.040082,long,1.000000,33.223151,False,Standard (NTI+MB+IC),1.039582,5.000000,1.041018,1.041955,1.043203,2012-11-01 12:45:00,1.039480,stop_loss,0,1.000000,258.580069,PPT,0.700000,439.320459,PPT,0.300000,-180.740390,258.580069,-6.024680,258.580069,,,
