trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
407,2020-02-04 02:15:00,1.296586,short,1.000000,51.559608,False,Standard (NTI+MB+IC),1.297086,5.000000,1.295419,1.294252,1.292696,2020-02-04 02:30:00,1.296233,trailing_stop,1,0.250000,760.000152,TP1,0.500000,583.463535,760.000152,3.530732,760.000152,PPT,0.500000,176.536616,,,
408,2020-02-04 02:45:00,1.294510,short,1.000000,57.735872,False,Standard (NTI+MB+IC),1.295010,5.000000,1.293345,1.292180,1.290626,2020-02-04 03:00:00,1.295079,stop_loss,0,0.250000,-568.641041,PPT,1.000000,-568.641041,-568.641041,-5.686410,-568.641041,,,,,,
409,2020-02-04 03:15:00,1.296868,short,1.000000,53.263215,False,Standard (NTI+MB+IC),1.297368,5.000000,1.295701,1.294533,1.292977,2020-02-04 03:30:00,1.297375,stop_loss,0,0.250000,-507.106533,PPT,1.000000,-507.106533,-507.106533,-5.071065,-507.106533,,,,,,
410,2020-02-04 03:45:00,1.298681,short,1.000000,21.214052,False,Standard (NTI+MB+IC),1.299181,5.000000,1.297513,1.296344,1.294785,2020-02-04 04:00:00,1.299290,stop_loss,0,0.250000,-608.997915,PPT,1.000000,-608.997915,-608.997915,-6.089979,-608.997915,,,,,,
411,2020-02-04 04:15:00,1.299410,short,1.000000,18.545358,False,Standard (NTI+MB+IC),1.299910,5.000000,1.298240,1.297071,1.295511,2020-02-04 04:30:00,1.300101,stop_loss,0,0.250000,-690.938917,PPT,1.000000,-690.938917,-690.938917,-6.909389,-690.938917,,,,,,
412,2020-02-04 04:45:00,1.301564,short,1.000000,19.670619,False,Standard (NTI+MB+IC),1.302064,5.000000,1.300393,1.299221,1.297659,2020-02-04 06:15:00,1.301580,trailing_stop,1,1.500000,577.997136,TP1,0.500000,585.703881,577.997136,-0.154135,577.997136,PPT,0.500000,-7.706744,,,
413,2020-02-04 06:30:00,1.300976,short,1.000000,40.296687,False,Standard (NTI+MB+IC),1.301476,5.000000,1.299805,1.298634,1.297073,2020-02-04 07:00:00,1.301674,stop_loss,0,0.500000,-698.497312,PPT,1.000000,-698.497312,-698.497312,-6.984973,-698.497312,,,,,,
414,2020-02-05 02:45:00,1.303675,short,1.000000,17.328622,False,Standard (NTI+MB+IC),1.304175,5.000000,1.302502,1.301328,1.299764,2020-02-05 03:00:00,1.304237,stop_loss,0,0.250000,-561.653754,PPT,1.000000,-561.653754,-561.653754,-5.616538,-561.653754,,,,,,
415,2020-02-05 03:15:00,1.304756,short,1.000000,40.484674,False,Standard (NTI+MB+IC),1.305256,5.000000,1.303581,1.302407,1.300841,2020-02-05 03:30:00,1.304447,signal_flip,1,0.250000,741.452061,TP1,0.500000,587.140084,741.452061,3.086240,741.452061,PPT,0.500000,154.311977,,,
416,2020-02-05 09:30:00,1.296080,short,1.000000,44.997819,False,Standard (NTI+MB+IC),1.296580,5.000000,1.294914,1.293747,1.292192,2020-02-05 09:45:00,1.296750,stop_loss,0,0.250000,-669.794073,PPT,1.000000,-669.794073,-669.794073,-6.697941,-669.794073,,,,,,
