trade_id,entry_time,entry_price,direction,initial_size,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,tp1_distance_pips,tp2_distance_pips,tp3_distance_pips,exit_time,final_exit_price,exit_reason,trade_duration_hours,tp_hits,total_exited,total_exited_millions,position_integrity_ok,partial_pnl_total,final_pnl,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_price,partial_exit_1_pips,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_price,partial_exit_2_pips,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_price,partial_exit_3_pips,partial_exit_3_pnl
46,2016-09-09 10:15:00,0.756684,short,1000000.000000,1.000000,68.481104,False,Standard (NTI+MB+IC),0.757684,10.000000,0.755549,0.754414,0.752901,11.350266,22.700533,37.834222,2016-09-09 10:45:00,0.756667,trailing_stop,0.500000,0,1000000.000000,1.000000,True,0.000000,17.257577,17.257577,trailing_stop,1.000000,0.756667,0.172576,17.257577,,,,,,,,,,
47,2016-09-09 11:00:00,0.755985,short,1000000.000000,1.000000,55.148039,False,Standard (NTI+MB+IC),0.756985,10.000000,0.754851,0.753717,0.752205,11.339771,22.679541,37.799235,2016-09-11 21:00:00,0.754851,tp1_pullback,58.000000,2,1000000.000000,1.000000,True,1114.343017,1303.348644,1303.348644,PARTIAL,0.500000,0.754890,10.947090,547.354486,TP1,0.166650,0.754851,11.339771,188.977278,TP2,0.166675,0.753717,22.679541,378.011254
48,2016-09-11 21:15:00,0.753635,short,1000000.000000,1.000000,27.208925,False,Standard (NTI+MB+IC),0.754635,10.000000,0.752505,0.751374,0.749867,11.304531,22.609062,37.681769,2016-09-12 00:00:00,0.753597,trailing_stop,2.750000,1,1000000.000000,1.000000,True,861.084791,873.737966,873.737966,PARTIAL,0.500000,0.752290,13.453896,672.694785,TP1,0.166650,0.752505,11.304531,188.390007,trailing_stop,0.333350,0.753597,0.379576,12.653175
49,2016-09-12 06:30:00,0.749438,short,1000000.000000,1.000000,42.176363,False,Standard (NTI+MB+IC),0.750438,10.000000,0.748314,0.747190,0.745691,11.241573,22.483146,37.471910,2016-09-12 07:30:00,0.750447,stop_loss,1.000000,0,1000000.000000,1.000000,True,0.000000,-1008.297237,-1008.297237,stop_loss,1.000000,0.750447,-10.082972,-1008.297237,,,,,,,,,,
50,2016-09-12 13:45:00,0.755692,long,1000000.000000,1.000000,41.565121,False,Standard (NTI+MB+IC),0.754692,10.000000,0.756826,0.757959,0.759471,11.335384,22.670768,37.784613,2016-09-12 20:15:00,0.755723,trailing_stop,6.500000,0,1000000.000000,1.000000,True,273.874626,289.449644,289.449644,PARTIAL,0.500000,0.756240,5.477493,273.874626,trailing_stop,0.500000,0.755723,0.311500,15.575018,,,,,
51,2016-09-12 20:45:00,0.754944,long,1000000.000000,1.000000,17.912065,False,Standard (NTI+MB+IC),0.754366,5.782240,0.756077,0.757209,0.758719,11.324165,22.648329,37.747215,2016-09-12 21:15:00,0.754956,trailing_stop,0.500000,0,1000000.000000,1.000000,True,162.848201,168.816300,168.816300,PARTIAL,0.500000,0.755270,3.256964,162.848201,trailing_stop,0.500000,0.754956,0.119362,5.968099,,,,,
52,2016-09-12 21:30:00,0.754766,long,1000000.000000,1.000000,22.405356,False,Standard (NTI+MB+IC),0.754453,3.122516,0.755898,0.757030,0.758540,11.321485,22.642970,37.738284,2016-09-12 22:45:00,0.754806,trailing_stop,1.250000,1,1000000.000000,1.000000,True,415.833911,429.113501,429.113501,PARTIAL,0.500000,0.755220,4.543227,227.161361,TP1,0.166650,0.755898,11.321485,188.672550,trailing_stop,0.333350,0.754806,0.398368,13.279589
53,2016-09-13 03:00:00,0.751932,short,1000000.000000,1.000000,46.278912,False,Standard (NTI+MB+IC),0.752932,10.000000,0.750804,0.749676,0.748172,11.278980,22.557960,37.596600,2016-09-13 04:00:00,0.751906,trailing_stop,1.000000,1,1000000.000000,1.000000,True,563.967080,572.666415,572.666415,PARTIAL,0.500000,0.751180,7.520058,376.002877,TP1,0.166650,0.750804,11.278980,187.964203,trailing_stop,0.333350,0.751906,0.260967,8.699335
54,2016-09-13 04:15:00,0.752346,short,1000000.000000,1.000000,46.798695,False,Standard (NTI+MB+IC),0.753346,10.000000,0.751217,0.750089,0.748584,11.285184,22.570368,37.617281,2016-09-13 06:45:00,0.753369,stop_loss,2.500000,0,1000000.000000,1.000000,True,0.000000,-1023.370276,-1023.370276,stop_loss,1.000000,0.753369,-10.233703,-1023.370276,,,,,,,,,,
55,2016-09-13 11:00:00,0.748311,short,1000000.000000,1.000000,35.731373,False,Standard (NTI+MB+IC),0.749311,10.000000,0.747188,0.746066,0.744569,11.224662,22.449325,37.415541,2016-09-13 13:00:00,0.744569,take_profit_3,2.000000,3,1000000.000000,1.000000,True,1670.269335,1670.269335,1670.269335,PARTIAL,0.500000,0.747340,9.708254,485.412682,TP1,0.166650,0.747188,11.224662,187.058999,TP2,0.166675,0.746066,22.449325,374.174120
56,2016-09-13 13:15:00,0.746614,short,1000000.000000,1.000000,57.933294,False,Standard (NTI+MB+IC),0.747614,10.000000,0.745494,0.744374,0.742881,11.199211,22.398422,37.330704,2016-09-13 16:00:00,0.746550,trailing_stop,2.750000,1,1000000.000000,1.000000,True,623.670408,644.905965,644.905965,PARTIAL,0.500000,0.745740,8.740711,437.035556,TP1,0.166650,0.745494,11.199211,186.634852,trailing_stop,0.333350,0.746550,0.637035,21.235557
57,2016-09-13 16:15:00,0.746353,short,1000000.000000,1.000000,12.706844,False,Standard (NTI+MB+IC),0.747353,10.000000,0.745233,0.744113,0.742621,11.195288,22.390576,37.317626,2016-09-13 19:00:00,0.746299,trailing_stop,2.750000,0,1000000.000000,1.000000,True,331.262395,358.091834,358.091834,PARTIAL,0.500000,0.745690,6.625248,331.262395,trailing_stop,0.500000,0.746299,0.536589,26.829439,,,,,
58,2016-09-15 11:30:00,0.750299,long,1000000.000000,1.000000,42.621975,False,Standard (NTI+MB+IC),0.749299,10.000000,0.751424,0.752550,0.754050,11.254482,22.508964,37.514940,2016-09-15 12:00:00,0.750368,trailing_stop,0.500000,1,1000000.000000,1.000000,True,553.152669,576.236545,576.236545,PARTIAL,0.500000,0.751030,7.311935,365.596725,TP1,0.166650,0.751424,11.254482,187.555944,trailing_stop,0.333350,0.750368,0.692482,23.083876
59,2016-09-15 12:15:00,0.750353,long,1000000.000000,1.000000,49.942766,False,Standard (NTI+MB+IC),0.749353,10.000000,0.751479,0.752604,0.754105,11.255297,22.510595,37.517658,2016-09-15 12:30:00,0.749173,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,-1179.927144,-1179.927144,stop_loss,1.000000,0.749173,-11.799271,-1179.927144,,,,,,,,,,
