trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
30,2023-08-01 10:30:00,0.661558,short,1.000000,17.931564,False,Standard (NTI+MB+IC),0.662058,5.000000,0.660962,0.660367,0.659573,2023-08-01 14:15:00,0.660962,tp1_pullback,2,3.750000,793.869431,TP1,0.333333,198.467358,TP2,0.333333,396.934715,595.402073,5.954021,793.869431
31,2023-08-01 18:45:00,0.661700,short,1.000000,22.556268,False,Standard (NTI+MB+IC),0.662200,5.000000,0.661105,0.660509,0.659715,2023-08-01 21:00:00,0.661724,trailing_stop,1,2.250000,182.437990,TP1,0.333333,198.510095,,,,198.510095,-0.241082,182.437990
32,2023-08-01 23:15:00,0.659245,short,1.000000,32.381833,False,Standard (NTI+MB+IC),0.659745,5.000000,0.658652,0.658058,0.657267,2023-08-02 00:30:00,0.658652,take_profit_1,1,1.250000,286.556862,PPT,0.700000,108.560689,TP1,0.300000,177.996173,286.556862,5.933206,286.556862
33,2023-08-02 00:45:00,0.658481,short,1.000000,44.275415,False,Standard (NTI+MB+IC),0.658981,5.000000,0.657889,0.657296,0.656506,2023-08-02 01:45:00,0.657889,take_profit_1,1,1.000000,458.775008,PPT,0.700000,280.985028,TP1,0.300000,177.789980,458.775008,5.926333,458.775008
34,2023-08-02 02:00:00,0.657148,short,1.000000,45.974785,False,Standard (NTI+MB+IC),0.657648,5.000000,0.656557,0.655965,0.655177,2023-08-02 02:15:00,0.656557,take_profit_1,1,0.250000,540.189503,PPT,0.700000,362.759482,TP1,0.300000,177.430022,540.189503,5.914334,540.189503
35,2023-08-02 02:30:00,0.658000,short,1.000000,46.473267,False,Standard (NTI+MB+IC),0.658500,5.000000,0.657407,0.656815,0.656026,2023-08-02 03:00:00,0.657407,take_profit_1,1,0.500000,464.419189,PPT,0.700000,286.759281,TP1,0.300000,177.659907,464.419189,5.921997,464.419189
36,2023-08-02 03:15:00,0.657555,short,1.000000,41.318024,False,Standard (NTI+MB+IC),0.658055,5.000000,0.656964,0.656372,0.655583,2023-08-02 03:45:00,0.658101,stop_loss,0,0.500000,-545.521515,,,,,,,,-5.455215,-545.521515
37,2023-08-02 04:00:00,0.657728,short,1.000000,34.235191,False,Standard (NTI+MB+IC),0.658228,5.000000,0.657136,0.656545,0.655755,2023-08-02 04:45:00,0.658248,stop_loss,0,0.750000,-519.574894,,,,,,,,-5.195749,-519.574894
38,2023-08-02 06:15:00,0.657832,short,1.000000,19.867143,False,Standard (NTI+MB+IC),0.658332,5.000000,0.657240,0.656648,0.655859,2023-08-02 06:45:00,0.658375,stop_loss,0,0.500000,-542.468038,,,,,,,,-5.424680,-542.468038
39,2023-08-02 09:30:00,0.655809,short,1.000000,29.374777,False,Standard (NTI+MB+IC),0.656309,5.000000,0.655218,0.654628,0.653841,2023-08-02 10:00:00,0.655218,take_profit_1,1,0.500000,365.109598,PPT,0.700000,188.041268,TP1,0.300000,177.068330,365.109598,5.902278,365.109598
40,2023-08-02 10:15:00,0.653934,short,1.000000,41.036612,False,Standard (NTI+MB+IC),0.654434,5.000000,0.653345,0.652757,0.651972,2023-08-02 10:30:00,0.653345,take_profit_1,1,0.250000,739.320943,PPT,0.700000,562.758778,TP1,0.300000,176.562164,739.320943,5.885405,739.320943
41,2023-08-02 10:45:00,0.653908,short,1.000000,50.630810,False,Standard (NTI+MB+IC),0.654408,5.000000,0.653320,0.652731,0.651946,2023-08-02 11:15:00,0.654568,stop_loss,0,0.500000,-659.676279,,,,,,,,-6.596763,-659.676279
42,2023-08-02 11:30:00,0.654405,short,1.000000,47.578228,False,Standard (NTI+MB+IC),0.654905,5.000000,0.653816,0.653227,0.652442,2023-08-02 12:45:00,0.655004,stop_loss,0,1.250000,47.868413,PPT,0.700000,227.628222,,,,227.628222,-5.991994,47.868413
43,2023-08-02 13:00:00,0.655158,short,1.000000,16.516886,False,Standard (NTI+MB+IC),0.655658,5.000000,0.654568,0.653979,0.653192,2023-08-02 13:45:00,0.654568,take_profit_1,1,0.750000,588.438168,PPT,0.700000,411.545529,TP1,0.300000,176.892639,588.438168,5.896421,588.438168
