trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
312,2023-02-17 03:45:00,0.683059,short,1.000000,35.085955,False,Standard (NTI+MB+IC),0.684059,10.000000,0.682035,0.681010,0.679644,2023-02-17 08:15:00,0.683055,trailing_stop,1,4.500000,621.827106,PPT,0.500000,279.591538,TP1,0.333333,341.529592,621.121130,0.042359,621.827106,,,
313,2023-02-17 09:30:00,0.683928,short,1.000000,21.194618,False,Standard (NTI+MB+IC),0.684260,3.318998,0.682902,0.681876,0.680508,2023-02-17 10:00:00,0.684268,stop_loss,0,0.500000,123.959083,PPT,0.500000,293.857265,,,,293.857265,-3.397964,123.959083,,,
314,2023-02-17 10:15:00,0.685659,short,1.000000,43.595978,False,Standard (NTI+MB+IC),0.684276,13.836625,0.684631,0.683603,0.682231,2023-02-17 10:30:00,0.684367,stop_loss,0,0.250000,1292.477067,,,,,,,,12.924771,1292.477067,,,
315,2023-02-17 10:45:00,0.685310,long,1.000000,47.236938,False,Standard (NTI+MB+IC),0.684310,10.000000,0.686338,0.687366,0.688737,2023-02-17 12:00:00,0.687366,take_profit_2,2,1.250000,1035.268658,PPT,0.500000,349.958575,TP1,0.333333,342.655041,1035.268658,20.559302,1035.268658,TP2,0.166667,342.655041
316,2023-02-17 12:15:00,0.687665,long,1.000000,53.287462,False,Standard (NTI+MB+IC),0.686665,10.000000,0.688696,0.689728,0.691103,2023-02-17 12:45:00,0.686647,stop_loss,0,0.500000,-1017.112525,,,,,,,,-10.171125,-1017.112525,,,
317,2023-02-17 13:00:00,0.686784,long,1.000000,49.190022,False,Standard (NTI+MB+IC),0.685784,10.000000,0.687814,0.688844,0.690218,2023-02-19 21:15:00,0.688844,take_profit_2,2,56.250000,1069.724881,PPT,0.500000,382.940763,TP1,0.333333,343.392059,1069.724881,20.603524,1069.724881,TP2,0.166667,343.392059
318,2023-02-19 21:30:00,0.688545,long,1.000000,45.777889,False,Standard (NTI+MB+IC),0.687545,10.000000,0.689577,0.690610,0.691987,2023-02-20 02:30:00,0.690610,take_profit_2,2,5.000000,1191.234393,PPT,0.500000,502.689773,TP1,0.333333,344.272310,1191.234393,20.656339,1191.234393,TP2,0.166667,344.272310
319,2023-02-20 02:45:00,0.690873,long,1.000000,43.494763,False,Standard (NTI+MB+IC),0.689873,10.000000,0.691910,0.692946,0.694328,2023-02-20 03:30:00,0.689751,stop_loss,0,0.750000,-1122.785320,,,,,,,,-11.227853,-1122.785320,,,
320,2023-02-20 03:45:00,0.690313,long,1.000000,16.989536,False,Standard (NTI+MB+IC),0.689313,10.000000,0.691348,0.692384,0.693764,2023-02-21 00:15:00,0.689172,stop_loss,1,20.500000,413.713694,PPT,0.500000,258.653342,TP1,0.333333,345.156347,603.809689,-11.405760,413.713694,,,
321,2023-02-21 03:45:00,0.687408,short,1.000000,44.399022,False,Standard (NTI+MB+IC),0.688408,10.000000,0.686377,0.685345,0.683971,2023-02-21 04:30:00,0.688516,stop_loss,0,0.750000,-1108.834513,,,,,,,,-11.088345,-1108.834513,,,
