trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total
98,2013-11-22 05:00:00,0.916994,short,1.000000,25.222776,False,Standard (NTI+MB+IC),0.917494,5.000000,0.916169,0.915343,0.914243,2013-11-22 05:15:00,0.916169,take_profit_1,1,0.250000,1055.246205,8.252944,1055.246205,PPT,0.700000,807.657879,TP1,0.300000,247.588325,1055.246205
99,2013-11-22 05:30:00,0.915742,short,1.000000,33.276213,False,Standard (NTI+MB+IC),0.916242,5.000000,0.914918,0.914094,0.912995,2013-11-22 05:45:00,0.916268,stop_loss,0,0.250000,-525.601825,-5.256018,-525.601825,,,,,,,
100,2013-11-22 06:00:00,0.916234,short,1.000000,36.125753,False,Standard (NTI+MB+IC),0.916734,5.000000,0.915410,0.914585,0.913486,2013-11-22 06:30:00,0.916786,stop_loss,0,0.500000,-551.273905,-5.512739,-551.273905,,,,,,,
101,2013-11-22 06:45:00,0.916949,short,1.000000,33.447409,False,Standard (NTI+MB+IC),0.917449,5.000000,0.916123,0.915298,0.914198,2013-11-22 07:00:00,0.917628,stop_loss,0,0.250000,-679.617689,-6.796177,-679.617689,,,,,,,
102,2013-11-24 18:00:00,0.917520,short,1.000000,47.457471,False,Standard (NTI+MB+IC),0.917268,2.513028,0.916694,0.915868,0.914767,2013-11-24 18:30:00,0.916694,take_profit_1,1,0.500000,520.418895,8.257676,520.418895,PPT,0.700000,272.688615,TP1,0.300000,247.730280,520.418895
103,2013-11-24 19:30:00,0.918325,long,1.000000,43.706450,False,Standard (NTI+MB+IC),0.917825,5.000000,0.919152,0.919978,0.921080,2013-11-24 20:00:00,0.917785,stop_loss,0,0.500000,-540.036876,-5.400369,-540.036876,,,,,,,
104,2013-11-24 20:45:00,0.915082,long,1.000000,33.913612,False,Standard (NTI+MB+IC),0.916507,14.255849,0.915905,0.916729,0.917827,2013-11-24 21:00:00,0.916348,stop_loss,0,0.250000,721.876018,12.665422,721.876018,PPT,0.700000,341.913349,,,,341.913349
105,2013-11-25 00:45:00,0.912798,short,1.000000,48.699423,False,Standard (NTI+MB+IC),0.913298,5.000000,0.911977,0.911155,0.910060,2013-11-25 02:30:00,0.911977,take_profit_1,1,1.750000,693.280443,8.215185,693.280443,PPT,0.700000,446.824896,TP1,0.300000,246.455547,693.280443
106,2013-11-25 02:45:00,0.913457,short,1.000000,57.506120,False,Standard (NTI+MB+IC),0.913957,5.000000,0.912635,0.911813,0.910717,2013-11-25 03:15:00,0.914044,stop_loss,0,0.500000,-586.666318,-5.866663,-586.666318,,,,,,,
107,2013-11-25 03:30:00,0.914657,short,1.000000,22.597819,False,Standard (NTI+MB+IC),0.915157,5.000000,0.913834,0.913011,0.911913,2013-11-25 04:00:00,0.913834,take_profit_1,1,0.500000,818.809561,8.231912,818.809561,PPT,0.700000,571.852190,TP1,0.300000,246.957372,818.809561
108,2013-11-25 17:45:00,0.917761,long,1.000000,40.534146,False,Standard (NTI+MB+IC),0.917261,5.000000,0.918587,0.919413,0.920514,2013-11-25 18:15:00,0.918587,take_profit_1,1,0.500000,429.067728,8.259849,429.067728,PPT,0.700000,181.272247,TP1,0.300000,247.795481,429.067728
109,2013-11-25 18:30:00,0.918579,long,1.000000,55.846873,False,Standard (NTI+MB+IC),0.918079,5.000000,0.919406,0.920233,0.921335,2013-11-25 18:45:00,0.919406,take_profit_1,1,0.250000,885.630981,8.267212,885.630981,PPT,0.700000,637.614618,TP1,0.300000,248.016363,885.630981
110,2013-11-25 19:00:00,0.919298,long,1.000000,61.040619,False,Standard (NTI+MB+IC),0.918798,5.000000,0.920126,0.920953,0.922056,2013-11-25 19:30:00,0.918796,stop_loss,0,0.500000,-501.688687,-5.016887,-501.688687,,,,,,,
111,2013-11-25 19:45:00,0.919382,long,1.000000,59.252832,False,Standard (NTI+MB+IC),0.918882,5.000000,0.920209,0.921037,0.922140,2013-11-25 20:15:00,0.918712,stop_loss,0,0.500000,-669.837666,-6.698377,-669.837666,,,,,,,
112,2013-11-25 20:30:00,0.919131,long,1.000000,57.325957,False,Standard (NTI+MB+IC),0.918631,5.000000,0.919958,0.920786,0.921889,2013-11-25 20:45:00,0.919958,take_profit_1,1,0.250000,562.313846,8.272181,562.313846,PPT,0.700000,314.148417,TP1,0.300000,248.165428,562.313846
113,2013-11-25 21:00:00,0.919216,long,1.000000,59.849928,False,Standard (NTI+MB+IC),0.918716,5.000000,0.920044,0.920871,0.921974,2013-11-25 21:15:00,0.918572,stop_loss,0,0.250000,-643.960211,-6.439602,-643.960211,,,,,,,
114,2013-11-25 21:30:00,0.918686,long,1.000000,51.910977,False,Standard (NTI+MB+IC),0.918186,5.000000,0.919512,0.920339,0.921442,2013-11-25 21:45:00,0.918032,stop_loss,0,0.250000,-653.872521,-6.538725,-653.872521,,,,,,,
115,2013-11-25 22:00:00,0.918135,long,1.000000,21.381254,False,Standard (NTI+MB+IC),0.917635,5.000000,0.918961,0.919788,0.920890,2013-11-25 23:00:00,0.918961,take_profit_1,1,1.000000,629.305101,8.263216,629.305101,PPT,0.700000,381.408615,TP1,0.300000,247.896485,629.305101
116,2013-11-25 23:15:00,0.919425,long,1.000000,32.235428,False,Standard (NTI+MB+IC),0.918925,5.000000,0.920253,0.921080,0.922184,2013-11-26 00:00:00,0.918764,stop_loss,0,0.750000,-661.070555,-6.610706,-661.070555,,,,,,,
117,2013-11-26 02:30:00,0.919720,long,1.000000,26.122769,False,Standard (NTI+MB+IC),0.919220,5.000000,0.920547,0.921375,0.922479,2013-11-26 02:45:00,0.919092,stop_loss,0,0.250000,-627.790672,-6.277907,-627.790672,,,,,,,
118,2013-11-26 04:00:00,0.915559,long,1.000000,30.834204,False,Standard (NTI+MB+IC),0.917555,19.962296,0.916383,0.917207,0.918305,2013-11-26 04:15:00,0.917502,stop_loss,0,0.250000,1943.575168,19.435752,1943.575168,,,,,,,
119,2013-11-26 04:30:00,0.914488,short,1.000000,39.415192,False,Standard (NTI+MB+IC),0.914988,5.000000,0.913665,0.912842,0.911744,2013-11-26 06:00:00,0.913665,take_profit_1,1,1.500000,518.347416,8.230390,518.347416,PPT,0.700000,271.435719,TP1,0.300000,246.911697,518.347416
120,2013-11-26 06:15:00,0.912566,short,1.000000,61.096401,False,Standard (NTI+MB+IC),0.913066,5.000000,0.911745,0.910924,0.909829,2013-11-26 06:45:00,0.911745,take_profit_1,1,0.500000,397.783593,8.213096,397.783593,PPT,0.700000,151.390700,TP1,0.300000,246.392894,397.783593
121,2013-11-26 07:00:00,0.911245,short,1.000000,70.611041,False,Standard (NTI+MB+IC),0.911745,5.000000,0.910424,0.909604,0.908511,2013-11-26 07:30:00,0.911906,stop_loss,0,0.500000,-660.977173,-6.609772,-660.977173,,,,,,,
122,2013-11-26 07:45:00,0.911496,short,1.000000,69.516004,False,Standard (NTI+MB+IC),0.911996,5.000000,0.910675,0.909855,0.908761,2013-11-26 08:45:00,0.910675,take_profit_1,1,1.000000,586.095499,8.203461,586.095499,PPT,0.700000,339.991659,TP1,0.300000,246.103840,586.095499
123,2013-11-26 09:00:00,0.910152,short,1.000000,70.855335,False,Standard (NTI+MB+IC),0.910652,5.000000,0.909333,0.908514,0.907421,2013-11-26 09:15:00,0.909333,take_profit_1,1,0.250000,730.016264,8.191366,730.016264,PPT,0.700000,484.275272,TP1,0.300000,245.740992,730.016264
124,2013-11-26 09:30:00,0.909730,short,1.000000,74.253943,False,Standard (NTI+MB+IC),0.910230,5.000000,0.908912,0.908093,0.907001,2013-11-26 09:45:00,0.908912,take_profit_1,1,0.250000,868.812522,8.187572,868.812522,PPT,0.700000,623.185350,TP1,0.300000,245.627171,868.812522
125,2013-11-26 10:00:00,0.909958,short,1.000000,76.894181,False,Standard (NTI+MB+IC),0.910458,5.000000,0.909139,0.908320,0.907228,2013-11-26 10:45:00,0.910543,stop_loss,0,0.750000,-585.129298,-5.851293,-585.129298,,,,,,,
126,2013-11-26 11:00:00,0.912450,short,1.000000,30.004498,False,Standard (NTI+MB+IC),0.912950,5.000000,0.911629,0.910808,0.909713,2013-11-26 12:00:00,0.911629,take_profit_1,1,1.000000,568.404704,8.212051,568.404704,PPT,0.700000,322.043188,TP1,0.300000,246.361517,568.404704
127,2013-11-26 12:15:00,0.910656,short,1.000000,37.553359,False,Standard (NTI+MB+IC),0.911156,5.000000,0.909837,0.909017,0.907924,2013-11-26 12:45:00,0.911257,stop_loss,0,0.500000,-600.575796,-6.005758,-600.575796,,,,,,,
128,2013-11-26 13:00:00,0.911297,short,1.000000,27.791462,False,Standard (NTI+MB+IC),0.911797,5.000000,0.910477,0.909657,0.908563,2013-11-26 13:30:00,0.911881,stop_loss,0,0.500000,-583.876676,-5.838767,-583.876676,,,,,,,
129,2013-11-26 14:30:00,0.912985,short,1.000000,15.890243,False,Standard (NTI+MB+IC),0.913485,5.000000,0.912163,0.911342,0.910246,2013-11-26 18:15:00,0.912163,take_profit_1,1,3.750000,572.107957,8.216866,572.107957,PPT,0.700000,325.601967,TP1,0.300000,246.505989,572.107957
130,2013-11-27 09:00:00,0.907471,short,1.000000,30.007051,False,Standard (NTI+MB+IC),0.907971,5.000000,0.906654,0.905837,0.904748,2013-11-27 10:30:00,0.907999,stop_loss,0,1.500000,10.064159,-5.279687,10.064159,PPT,0.700000,168.454761,,,,168.454761
131,2013-11-27 12:45:00,0.907157,short,1.000000,35.694942,False,Standard (NTI+MB+IC),0.907657,5.000000,0.906341,0.905525,0.904436,2013-11-27 15:00:00,0.907745,stop_loss,0,2.250000,60.040035,-5.872759,60.040035,PPT,0.700000,236.222808,,,,236.222808
132,2013-11-27 19:30:00,0.911001,short,1.000000,17.821093,False,Standard (NTI+MB+IC),0.908853,21.474850,0.910181,0.909361,0.908268,2013-11-27 19:45:00,0.908858,stop_loss,0,0.250000,2142.890597,21.428906,2142.890597,,,,,,,
133,2013-11-27 20:15:00,0.913207,long,1.000000,51.288487,False,Standard (NTI+MB+IC),0.912707,5.000000,0.914028,0.914850,0.915946,2013-11-27 20:45:00,0.912558,stop_loss,0,0.500000,-648.169072,-6.481691,-648.169072,,,,,,,
134,2013-11-27 21:00:00,0.912448,long,1.000000,58.351071,False,Standard (NTI+MB+IC),0.911948,5.000000,0.913269,0.914090,0.915185,2013-11-27 21:15:00,0.911802,stop_loss,0,0.250000,-645.875466,-6.458755,-645.875466,,,,,,,
135,2013-11-27 21:30:00,0.911593,long,1.000000,54.817604,False,Standard (NTI+MB+IC),0.911093,5.000000,0.912413,0.913234,0.914328,2013-11-27 22:15:00,0.912413,take_profit_1,1,0.750000,503.071633,8.204336,503.071633,PPT,0.700000,256.941539,TP1,0.300000,246.130094,503.071633
136,2013-11-27 22:30:00,0.912358,long,1.000000,50.455170,False,Standard (NTI+MB+IC),0.911858,5.000000,0.913179,0.914000,0.915095,2013-11-27 23:45:00,0.913179,take_profit_1,1,1.250000,422.587092,8.211224,422.587092,PPT,0.700000,176.250374,TP1,0.300000,246.336718,422.587092
137,2013-11-28 00:00:00,0.912849,long,1.000000,40.879216,False,Standard (NTI+MB+IC),0.912349,5.000000,0.913670,0.914492,0.915587,2013-11-28 00:15:00,0.912176,stop_loss,0,0.250000,-672.745333,-6.727453,-672.745333,,,,,,,
138,2013-11-28 00:30:00,0.911509,long,1.000000,16.945928,False,Standard (NTI+MB+IC),0.911009,5.000000,0.912329,0.913150,0.914244,2013-11-28 00:45:00,0.912329,take_profit_1,1,0.250000,855.722086,8.203582,855.722086,PPT,0.700000,609.614623,TP1,0.300000,246.107463,855.722086
139,2013-11-28 05:15:00,0.914078,long,1.000000,34.466846,False,Standard (NTI+MB+IC),0.913578,5.000000,0.914901,0.915724,0.916821,2013-11-28 05:45:00,0.913406,stop_loss,0,0.500000,-672.113106,-6.721131,-672.113106,,,,,,,
140,2013-11-28 06:00:00,0.913605,long,1.000000,39.844993,False,Standard (NTI+MB+IC),0.913105,5.000000,0.914428,0.915250,0.916346,2013-11-28 07:00:00,0.913011,stop_loss,0,1.000000,20.895413,-5.942544,20.895413,PPT,0.700000,199.171736,,,,199.171736
141,2013-11-28 07:15:00,0.911877,long,1.000000,16.832484,False,Standard (NTI+MB+IC),0.911474,4.030453,0.912698,0.913519,0.914613,2013-11-28 08:00:00,0.911289,stop_loss,0,0.750000,-62.418128,-5.879453,-62.418128,PPT,0.700000,113.965466,,,,113.965466
